genome	S_alg	k	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo-pangenome	greedytigs	18	2.97	0.08	2.94	101%	258448	0	19576	2.975102
yeast	greedytigs	26	0.78	0.01	0.76	100%	13440	0	22712	0.786458
yeast	greedytigs	27	0.79	0.01	0.77	100%	12680	0	22720	0.794473
spneumo-pangenome	matchtigs	16	68.34	0.29	68.81	101%	519028	3696	134480	68.344322
streptococcus_pneumoniae-large	prophasm	11	30.91	0.08	30.80	99%	111408	0	4520	30.915328
yeast	prophasm	16	12.70	0.20	12.48	99%	470844	0	26736	12.739563
streptococcus_pneumoniae-large	greedytigs	22	15.40	0.65	16.59	111%	1086220	0	146632	15.411118
escherichia_coli.k32	greedytigs	18	58.68	1.63	67.97	118%	5131616	0	320136	58.691889
spneumo-pangenome	greedytigs	27	2.84	0.09	2.75	100%	230228	0	24016	2.847834
yeast	greedytigs	24	0.79	0.04	0.75	100%	14336	0	22688	0.800866
salmonella_enterica.k32	greedytigs	19	28.08	0.70	30.82	112%	2470032	0	198984	28.092779
sars-cov-2-pangenome	greedytigs	19	7.15	0.43	12.36	178%	440564	0	20472	7.159474
streptococcus_pneumoniae-large	greedytigs	31	16.69	0.80	17.67	110%	959496	0	163456	16.696886
yeast	prophasm	27	13.45	0.17	13.27	99%	478692	0	23224	13.460792
spneumoniae	greedytigs	9	2.49	0.02	2.70	109%	65432	0	264	2.502281
spneumo-pangenome	eulertigs	27	3.10	0.10	3.00	99%	154056	0	27856	3.113574
salmonella_enterica.k32	greedytigs	13	16902.04	8.37	23266.15	137%	10067192	0	57880	16902.050088
neisseria_gonorrhoeae.pangenome.k32	unitigs	31	20.58	17.94	124.58	692%	796588	0	2146408	20.585554
spneumoniae	eulertigs	13	2.42	0.10	2.30	99%	165752	0	7104	2.428897
escherichia_coli.k32	unitigs	15	816.58	3056.43	1639.84	575%	2203556	0	43825128	816.582994
sars-cov-2-pangenome	prophasm	13	8.75	0.10	8.64	99%	181984	0	21544	8.756912
spneumo-pangenome	unitigs	8	2.55	5.22	3.83	354%	402444	0	102672	2.557962
yeast	eulertigs	24	1.00	0.02	0.97	99%	11292	0	22832	1.007334
yeast	greedytigs	12	78.34	1.29	370.97	475%	1887360	0	11696	78.345664
human	eulertigs	41	348.10	4.92	342.94	99%	7691928	600	5810392	348.111655
sars-cov-2-pangenome	greedytigs	12	59.55	1.93	307.34	519%	869264	0	7296	59.563586
spneumo-pangenome	eulertigs	25	3.17	0.11	3.05	99%	160380	0	27024	3.177322
salmonella_enterica.k32	prophasm	19	130.43	1.40	128.96	99%	3270860	0	246304	130.441904
neisseria_gonorrhoeae.pangenome.k32	greedytigs	17	7.65	0.32	8.30	112%	582620	0	51816	7.659135
spneumo-pangenome	greedytigs	12	78.04	0.45	345.61	443%	1295508	0	8680	78.050568
streptococcus_pneumoniae-large	prophasm	21	102.01	2.04	99.91	99%	2749876	0	164624	102.021077
sars-cov-2-pangenome	greedytigs	13	19.67	0.28	74.97	382%	834120	0	10904	19.680821
escherichia_coli.k32	prophasm	31	294.28	4.22	287.63	99%	6705020	0	492160	294.287061
sars-cov-2-pangenome	unitigs	16	18.97	58.68	54.68	597%	571568	15000	1026272	18.977815
neisseria_gonorrhoeae.pangenome.k32	unitigs	23	21.93	19.96	139.01	724%	771808	0	2234856	21.935942
neisseria_gonorrhoeae.pangenome.k32	greedytigs	51	3.79	0.13	3.64	99%	135208	0	58720	3.794387
spneumoniae	eulertigs	11	3.51	0.11	3.38	99%	208788	0	5112	3.516127
spneumoniae	prophasm	21	1.88	0.04	1.83	99%	112620	0	4320	1.888699
yeast	unitigs	24	18.04	10.14	77.50	485%	1171740	0	972176	18.053134
spneumoniae	unitigs	9	3.41	11.99	4.60	486%	191960	0	114720	3.413887
spneumoniae	greedytigs	8	0.13	0.01	0.14	113%	17728	0	72	0.142218
streptococcus_pneumoniae-large	greedytigs	9	0.93	0.02	0.41	46%	48788	0	264	0.936349
spneumoniae	greedytigs	22	0.16	0.01	0.14	101%	6172	0	4216	0.164656
neisseria_gonorrhoeae.pangenome.k32	prophasm	8	1.72	0.01	1.70	99%	24664	0	80	1.725916
salmonella_enterica.k32	unitigs	41	75.34	116.92	589.95	938%	2601540	0	8397200	75.348821
minikraken4GB	unitigs	11	127.91	261.23	1084.84	1052%	6561388	872	27435800	127.919319
yeast	eulertigs	18	1.04	0.03	1.01	99%	33716	0	23256	1.053934
yeast	prophasm	14	12.42	0.15	12.25	99%	433364	0	42248	12.455495
human	greedytigs	61	640.46	4.96	1062.51	166%	5253744	8179000	5526528	640.46974
yeast	prophasm	31	13.66	0.27	13.37	99%	479260	0	23248	13.667403
neisseria_gonorrhoeae.pangenome.k32	eulertigs	20	3.55	0.11	3.42	99%	146764	0	55512	3.554235
streptococcus_pneumoniae-large	prophasm	18	117.57	4.18	113.31	99%	2748228	0	167184	117.580102
spneumo-pangenome	prophasm	9	0.79	0.00	0.79	99%	28536	0	296	0.803134
spneumoniae	matchtigs	16	0.33	0.01	0.32	100%	26888	0	6880	0.341913
spneumo-pangenome	eulertigs	26	2.98	0.09	2.89	99%	159704	0	27680	2.988934
neisseria_gonorrhoeae.pangenome.k32	eulertigs	22	3.61	0.09	3.51	99%	129828	0	55936	3.622059
spneumo-pangenome	prophasm	18	12.59	0.39	12.18	99%	348112	0	23024	12.59499
spneumoniae	prophasm	8	0.13	0.01	0.11	99%	24260	0	80	0.135302
neisseria_gonorrhoeae.pangenome.k32	greedytigs	8	3.04	0.01	0.10	3%	16344	0	72	3.052844
salmonella_enterica.k32	unitigs	21	121.73	261.12	656.26	753%	1241836	0	9557016	121.734748
spneumoniae	greedytigs	30	0.16	0.00	0.15	100%	5264	0	4232	0.163709
minikraken4GB	greedytigs	9	0.40	0.01	0.37	95%	48736	64	264	0.41083
spneumoniae	greedytigs	24	0.16	0.00	0.16	101%	5716	0	4216	0.165649
yeast	matchtigs	16	16742.53	2.05	16740.39	99%	4258436	0	1214304	16742.538094
sars-cov-2-pangenome	prophasm	12	5.38	0.05	5.31	99%	126136	0	15944	5.38693
salmonella_enterica.k32	prophasm	20	134.46	1.49	132.87	99%	3327176	0	249928	134.465306
spneumo-pangenome	greedytigs	16	4.33	0.17	4.48	107%	353648	0	18592	4.335283
yeast	matchtigs	29	0.97	0.03	0.94	100%	16892	0	24648	0.976361
escherichia_coli.k32	prophasm	23	243.75	2.63	240.91	99%	6104228	0	429840	243.755583
streptococcus_pneumoniae-large	prophasm	20	123.93	2.62	121.23	99%	2748436	0	166880	123.934261
streptococcus_pneumoniae-large	unitigs	23	73.98	147.31	441.69	796%	1264412	0	6646080	73.991939
spneumo-pangenome	eulertigs	51	1.60	0.06	1.53	99%	73764	0	26320	1.606995
spneumo-pangenome	greedytigs	41	1.79	0.06	1.72	99%	112240	0	28328	1.798493
neisseria_gonorrhoeae.pangenome.k32	unitigs	20	24.20	24.18	151.17	724%	724852	0	2323656	24.206602
yeast	greedytigs	30	0.81	0.01	0.79	100%	11740	0	22744	0.816696
salmonella_enterica.k32	eulertigs	14	161.89	3.10	156.85	98%	8688732	0	287240	161.902213
salmonella_enterica.k32	unitigs	22	119.12	243.21	651.46	751%	1251800	0	9550520	119.129704
sars-cov-2-pangenome	matchtigs	61	1.84	0.25	1.60	100%	139952	0	24224	1.8518
spneumoniae	unitigs	23	3.73	3.85	14.13	481%	243516	0	195464	3.740937
spneumoniae	unitigs	13	11.03	65.20	25.86	825%	286800	0	535248	11.037213
spneumo-pangenome	unitigs	16	18.18	58.17	65.09	677%	611272	0	1069296	18.18454
yeast	unitigs	29	16.01	8.74	73.37	512%	1133004	0	909256	16.014106
spneumo-pangenome	greedytigs	61	1.77	0.16	1.61	99%	86028	0	24504	1.781175
streptococcus_pneumoniae-large	greedytigs	51	11.05	0.28	10.76	99%	658388	0	179872	11.057902
neisseria_gonorrhoeae.pangenome.k32	unitigs	15	95.39	572.82	260.78	873%	870520	0	5346200	95.394254
