genome	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	enc0_xz_bytes	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	eulertigs	7	na	default	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default.C_EliasFano
escherichia_coli.k32	eulertigs	7	na	default	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default.C_bzip
escherichia_coli.k32	eulertigs	7	na	default	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default.C_rrr
escherichia_coli.k32	eulertigs	7	na	default	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default.C_xz
escherichia_coli.k32	eulertigs	7	na	ones	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones.C_EliasFano
escherichia_coli.k32	eulertigs	7	na	ones	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones.C_bzip
escherichia_coli.k32	eulertigs	7	na	ones	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones.C_rrr
escherichia_coli.k32	eulertigs	7	na	ones	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones.C_xz
escherichia_coli.k32	eulertigs	7	na	runs	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs.C_EliasFano
escherichia_coli.k32	eulertigs	7	na	runs	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs.C_bzip
escherichia_coli.k32	eulertigs	7	na	runs	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs.C_rrr
escherichia_coli.k32	eulertigs	7	na	runs	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs.C_xz
escherichia_coli.k32	eulertigs	7	na	runsapprox	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	eulertigs	7	na	runsapprox	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runsapprox.C_bzip
