pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default	escherichia_coli.k32	eulertigs	7	na	default	0.06	0.01	0.03	95%	16228	0	0	0.065419
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones	escherichia_coli.k32	eulertigs	7	na	ones	0.00	0.00	0.00	100%	4236	0	0	0.006708
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs	escherichia_coli.k32	eulertigs	7	na	runs	0.00	0.00	0.00	80%	4928	0	0	0.009789
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	7	na	runsapprox	0.00	0.00	0.00	85%	4928	0	0	0.011088
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros	escherichia_coli.k32	eulertigs	7	na	zeros	0.00	0.00	0.00	75%	4236	0	0	0.007829
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default	escherichia_coli.k32	greedytigs	7	na	default	0.06	0.01	0.05	95%	16228	0	0	0.072178
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones	escherichia_coli.k32	greedytigs	7	na	ones	0.00	0.00	0.00	100%	4236	0	0	0.009084
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs	escherichia_coli.k32	greedytigs	7	na	runs	0.00	0.00	0.00	100%	4928	0	0	0.011859
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	7	na	runsapprox	0.00	0.00	0.00	80%	4928	0	0	0.008066
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros	escherichia_coli.k32	greedytigs	7	na	zeros	0.00	0.00	0.00	80%	4236	0	0	0.00917
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default	escherichia_coli.k32	matchtigs	7	na	default	0.07	0.01	0.05	96%	16228	0	0	0.082489
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones	escherichia_coli.k32	matchtigs	7	na	ones	0.00	0.00	0.00	100%	4236	0	0	0.008495
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs	escherichia_coli.k32	matchtigs	7	na	runs	0.00	0.00	0.00	100%	4928	0	0	0.009714
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runsapprox	escherichia_coli.k32	matchtigs	7	na	runsapprox	0.00	0.00	0.00	100%	4928	0	0	0.008723
