pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default	escherichia_coli.k32	eulertigs	7	na	default	Command exited with non-zero status 120	0.06488	na	na	na	na	na	na
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones	escherichia_coli.k32	eulertigs	7	na	ones	0.00	0.00	0.00	100%	4224	0	0	0.008408
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs	escherichia_coli.k32	eulertigs	7	na	runs	0.00	0.00	0.00	100%	4960	0	0	0.012767
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	7	na	runsapprox	0.01	0.00	0.00	72%	4972	0	0	0.017743
escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros	escherichia_coli.k32	eulertigs	7	na	zeros	0.00	0.00	0.00	100%	4224	0	0	0.00806
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default	escherichia_coli.k32	greedytigs	7	na	default	Command exited with non-zero status 120	0.160089	na	na	na	na	na	na
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones	escherichia_coli.k32	greedytigs	7	na	ones	0.00	0.00	0.00	100%	4224	0	0	0.007907
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs	escherichia_coli.k32	greedytigs	7	na	runs	0.00	0.00	0.00	100%	4960	0	0	0.008949
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	7	na	runsapprox	0.03	0.00	0.00	22%	4972	0	0	0.048262
escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros	escherichia_coli.k32	greedytigs	7	na	zeros	0.00	0.00	0.00	80%	4224	0	0	0.008632
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default	escherichia_coli.k32	matchtigs	7	na	default	Command exited with non-zero status 120	0.086311	na	na	na	na	na	na
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones	escherichia_coli.k32	matchtigs	7	na	ones	0.00	0.00	0.00	100%	4224	0	0	0.00659
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs	escherichia_coli.k32	matchtigs	7	na	runs	0.00	0.00	0.00	100%	4960	0	0	0.012463
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runsapprox	escherichia_coli.k32	matchtigs	7	na	runsapprox	0.03	0.00	0.00	21%	4972	0	0	0.046912
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros	escherichia_coli.k32	matchtigs	7	na	zeros	0.00	0.00	0.00	80%	4224	0	0	0.009682
escherichia_coli.k32.S_prophasm.k_7.d_na.M_default	escherichia_coli.k32	prophasm	7	na	default	Command exited with non-zero status 120	0.185529	na	na	na	na	na	na
escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones	escherichia_coli.k32	prophasm	7	na	ones	0.00	0.00	0.00	100%	4224	0	0	0.006725
escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs	escherichia_coli.k32	prophasm	7	na	runs	0.00	0.00	0.00	100%	4960	0	0	0.009638
escherichia_coli.k32.S_prophasm.k_7.d_na.M_runsapprox	escherichia_coli.k32	prophasm	7	na	runsapprox	0.01	0.00	0.00	53%	4972	0	0	0.020337
escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros	escherichia_coli.k32	prophasm	7	na	zeros	0.00	0.00	0.00	100%	4224	0	0	0.009516
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default	escherichia_coli.k32	eulertigs	8	na	default	Command exited with non-zero status 120	0.085938	na	na	na	na	na	na
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones	escherichia_coli.k32	eulertigs	8	na	ones	0.01	0.00	0.01	91%	4776	0	0	0.015879
