pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_global.k_8.d_na	escherichia_coli.k32	global	8	na	20.82	0.35	19.95	97%	5424	0	0	20.828577
escherichia_coli.k32.S_local.k_8.d_1	escherichia_coli.k32	local	8	1	13.89	0.22	13.09	95%	4720	16	0	13.899279
escherichia_coli.k32.S_local.k_8.d_2	escherichia_coli.k32	local	8	2	18.99	0.37	17.55	94%	4936	0	0	19.003204
escherichia_coli.k32.S_local.k_8.d_3	escherichia_coli.k32	local	8	3	14.11	0.26	12.89	93%	5460	0	0	14.123959
escherichia_coli.k32.S_local.k_8.d_4	escherichia_coli.k32	local	8	4	21.65	0.41	20.73	97%	5684	0	0	21.657158
escherichia_coli.k32.S_local.k_8.d_5	escherichia_coli.k32	local	8	5	19.63	0.41	18.75	97%	5756	0	0	19.64011
escherichia_coli.k32.S_global.k_9.d_na	escherichia_coli.k32	global	9	na	13.77	0.21	12.99	95%	9684	0	0	13.782894
escherichia_coli.k32.S_local.k_9.d_1	escherichia_coli.k32	local	9	1	14.89	0.23	13.44	91%	6384	0	0	14.895466
escherichia_coli.k32.S_local.k_9.d_2	escherichia_coli.k32	local	9	2	14.22	0.21	13.36	95%	6508	0	0	14.227984
escherichia_coli.k32.S_local.k_9.d_3	escherichia_coli.k32	local	9	3	13.57	0.21	12.84	96%	8184	0	0	13.577305
escherichia_coli.k32.S_local.k_9.d_4	escherichia_coli.k32	local	9	4	20.53	0.36	20.10	99%	10076	0	0	20.541379
escherichia_coli.k32.S_local.k_9.d_5	escherichia_coli.k32	local	9	5	20.84	0.42	19.92	97%	10372	0	0	20.852824
escherichia_coli.k32.S_global.k_10.d_na	escherichia_coli.k32	global	10	na	22.43	0.38	22.03	99%	28116	0	0	22.443314
escherichia_coli.k32.S_local.k_10.d_1	escherichia_coli.k32	local	10	1	17.13	0.27	16.19	96%	12904	0	0	17.136945
escherichia_coli.k32.S_local.k_10.d_2	escherichia_coli.k32	local	10	2	16.92	0.27	15.90	95%	13600	0	0	16.9241
escherichia_coli.k32.S_local.k_10.d_3	escherichia_coli.k32	local	10	3	15.50	0.25	14.42	94%	15588	0	0	15.508338
escherichia_coli.k32.S_local.k_10.d_4	escherichia_coli.k32	local	10	4	17.24	0.22	16.29	95%	21792	0	0	17.243399
