genome	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	global	8	na	default	EliasFano	32896	33284	32896	388	129	9676	296	9972	10000	escherichia_coli.k32.S_global.k_8.d_na.M_default.C_EliasFano
escherichia_coli.k32	global	8	na	default	bzip	32896	33284	32896	388	129	9676	350	10026	10000	escherichia_coli.k32.S_global.k_8.d_na.M_default.C_bzip
escherichia_coli.k32	global	8	na	default	rrr	32896	33284	32896	388	129	9676	563	10239	10000	escherichia_coli.k32.S_global.k_8.d_na.M_default.C_rrr
escherichia_coli.k32	global	8	na	default	xz	32896	33284	32896	388	129	9676	516	10192	10000	escherichia_coli.k32.S_global.k_8.d_na.M_default.C_xz
escherichia_coli.k32	global	8	na	ones	EliasFano	32896	33284	33277	7	1	9676	8	9684	9684	escherichia_coli.k32.S_global.k_8.d_na.M_ones.C_EliasFano
escherichia_coli.k32	global	8	na	ones	bzip	32896	33284	33277	7	1	9676	51	9727	9684	escherichia_coli.k32.S_global.k_8.d_na.M_ones.C_bzip
escherichia_coli.k32	global	8	na	ones	rrr	32896	33284	33277	7	1	9676	251	9927	9684	escherichia_coli.k32.S_global.k_8.d_na.M_ones.C_rrr
escherichia_coli.k32	global	8	na	ones	xz	32896	33284	33277	7	1	9676	144	9820	9684	escherichia_coli.k32.S_global.k_8.d_na.M_ones.C_xz
escherichia_coli.k32	global	8	na	runs	EliasFano	32896	33284	33277	7	1	9676	8	9684	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runs.C_EliasFano
escherichia_coli.k32	global	8	na	runs	bzip	32896	33284	33277	7	1	9676	51	9727	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runs.C_bzip
escherichia_coli.k32	global	8	na	runs	rrr	32896	33284	33277	7	1	9676	251	9927	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runs.C_rrr
escherichia_coli.k32	global	8	na	runs	xz	32896	33284	33277	7	1	9676	144	9820	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runs.C_xz
escherichia_coli.k32	global	8	na	runsapprox	EliasFano	32896	33284	33277	7	1	9676	8	9684	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	global	8	na	runsapprox	bzip	32896	33284	33277	7	1	9676	51	9727	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	global	8	na	runsapprox	rrr	32896	33284	33277	7	1	9676	251	9927	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	global	8	na	runsapprox	xz	32896	33284	33277	7	1	9676	144	9820	9684	escherichia_coli.k32.S_global.k_8.d_na.M_runsapprox.C_xz
escherichia_coli.k32	global	8	na	zeros	EliasFano	32896	33284	32896	388	251	9676	512	10188	10160	escherichia_coli.k32.S_global.k_8.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	global	8	na	zeros	bzip	32896	33284	32896	388	251	9676	548	10224	10160	escherichia_coli.k32.S_global.k_8.d_na.M_zeros.C_bzip
escherichia_coli.k32	global	8	na	zeros	rrr	32896	33284	32896	388	251	9676	563	10239	10160	escherichia_coli.k32.S_global.k_8.d_na.M_zeros.C_rrr
escherichia_coli.k32	global	8	na	zeros	xz	32896	33284	32896	388	251	9676	712	10388	10160	escherichia_coli.k32.S_global.k_8.d_na.M_zeros.C_xz
escherichia_coli.k32	local	8	1	default	EliasFano	32896	35080	32896	2184	312	4604	616	5220	5484	escherichia_coli.k32.S_local.k_8.d_1.M_default.C_EliasFano
escherichia_coli.k32	local	8	1	default	bzip	32896	35080	32896	2184	312	4604	404	5008	5484	escherichia_coli.k32.S_local.k_8.d_1.M_default.C_bzip
escherichia_coli.k32	local	8	1	default	rrr	32896	35080	32896	2184	312	4604	1243	5847	5484	escherichia_coli.k32.S_local.k_8.d_1.M_default.C_rrr
escherichia_coli.k32	local	8	1	default	xz	32896	35080	32896	2184	312	4604	644	5248	5484	escherichia_coli.k32.S_local.k_8.d_1.M_default.C_xz
