pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_global.k_8.d_na.M_default	escherichia_coli.k32	global	8	na	default	0.01	0.00	0.00	5%	1384	24	0	0.023857
escherichia_coli.k32.S_global.k_8.d_na.M_ones	escherichia_coli.k32	global	8	na	ones	0.01	0.00	0.00	90%	4736	0	0	0.014725
escherichia_coli.k32.S_global.k_8.d_na.M_runs	escherichia_coli.k32	global	8	na	runs	0.02	0.00	0.01	90%	7824	0	0	0.022737
escherichia_coli.k32.S_global.k_8.d_na.M_runsapprox	escherichia_coli.k32	global	8	na	runsapprox	0.02	0.00	0.02	100%	7824	0	0	0.023791
escherichia_coli.k32.S_global.k_8.d_na.M_zeros	escherichia_coli.k32	global	8	na	zeros	0.00	0.00	0.00	100%	4736	0	0	0.009508
escherichia_coli.k32.S_local.k_8.d_1.M_default	escherichia_coli.k32	local	8	1	default	0.00	0.00	0.00	100%	2192	16	0	0.006207
escherichia_coli.k32.S_local.k_8.d_1.M_ones	escherichia_coli.k32	local	8	1	ones	0.00	0.00	0.00	100%	4708	0	0	0.009669
escherichia_coli.k32.S_local.k_8.d_1.M_runs	escherichia_coli.k32	local	8	1	runs	0.02	0.00	0.02	96%	7828	0	0	0.029563
escherichia_coli.k32.S_local.k_8.d_1.M_runsapprox	escherichia_coli.k32	local	8	1	runsapprox	0.02	0.00	0.01	95%	7828	0	0	0.024773
escherichia_coli.k32.S_local.k_8.d_1.M_zeros	escherichia_coli.k32	local	8	1	zeros	0.01	0.00	0.00	100%	4708	0	0	0.013235
escherichia_coli.k32.S_local.k_8.d_2.M_default	escherichia_coli.k32	local	8	2	default	0.00	0.00	0.00	100%	2188	24	0	0.006168
escherichia_coli.k32.S_local.k_8.d_2.M_ones	escherichia_coli.k32	local	8	2	ones	0.00	0.00	0.00	100%	4708	0	0	0.012931
escherichia_coli.k32.S_local.k_8.d_2.M_runs	escherichia_coli.k32	local	8	2	runs	0.02	0.01	0.01	90%	7828	0	0	0.02579
escherichia_coli.k32.S_local.k_8.d_2.M_runsapprox	escherichia_coli.k32	local	8	2	runsapprox	0.02	0.00	0.01	95%	7828	0	0	0.02498
escherichia_coli.k32.S_local.k_8.d_2.M_zeros	escherichia_coli.k32	local	8	2	zeros	0.01	0.00	0.01	100%	4708	0	0	0.016973
escherichia_coli.k32.S_local.k_8.d_3.M_default	escherichia_coli.k32	local	8	3	default	0.00	0.00	0.00	100%	2192	24	0	0.006938
escherichia_coli.k32.S_local.k_8.d_3.M_ones	escherichia_coli.k32	local	8	3	ones	0.00	0.00	0.00	100%	4708	0	0	0.011347
escherichia_coli.k32.S_local.k_8.d_3.M_runs	escherichia_coli.k32	local	8	3	runs	0.02	0.00	0.01	91%	7828	0	0	0.026779
escherichia_coli.k32.S_local.k_8.d_3.M_runsapprox	escherichia_coli.k32	local	8	3	runsapprox	0.01	0.00	0.01	100%	7828	0	0	0.020973
escherichia_coli.k32.S_local.k_8.d_3.M_zeros	escherichia_coli.k32	local	8	3	zeros	0.00	0.00	0.00	100%	4708	0	0	0.011241
escherichia_coli.k32.S_local.k_8.d_4.M_default	escherichia_coli.k32	local	8	4	default	0.00	0.00	0.00	100%	2192	24	0	0.007557
escherichia_coli.k32.S_local.k_8.d_4.M_ones	escherichia_coli.k32	local	8	4	ones	0.00	0.00	0.00	85%	4708	0	0	0.01034
escherichia_coli.k32.S_local.k_8.d_4.M_runs	escherichia_coli.k32	local	8	4	runs	0.01	0.00	0.01	94%	7828	0	0	0.023801
escherichia_coli.k32.S_local.k_8.d_4.M_runsapprox	escherichia_coli.k32	local	8	4	runsapprox	0.02	0.00	0.01	100%	7828	0	0	0.024393
