genome	rate	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	enc0_xz_bytes	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	0.000000001	eulertigs	31	na	default	bzip	1	31	1	30	1	1	31	96	96	41	137	96	escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.000000001	eulertigs	31	na	default	xz	1	31	1	30	1	1	31	96	96	76	172	96	escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.000000001	eulertigs	31	na	ones	bzip	1	31	1	30	1	1	31	96	96	41	137	96	escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.000000001	eulertigs	31	na	ones	xz	1	31	1	30	1	1	31	96	96	76	172	96	escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.000000001	eulertigs	31	na	runsapprox	bzip	1	31	1	30	1	1	31	96	96	41	137	96	escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.000000001	eulertigs	31	na	runsapprox	xz	1	31	1	30	1	1	31	96	96	76	172	96	escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.0001	eulertigs	31	na	default	bzip	16229	503069	16229	486840	16228	16228	503069	142356	135924	49	135973	146512	escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.0001	eulertigs	31	na	default	xz	16229	503069	16229	486840	16228	16228	503069	142356	135924	224	136148	146512	escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.0001	eulertigs	31	na	ones	bzip	16229	503069	16229	486840	16228	16228	503069	142356	135924	49	135973	146512	escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.0001	eulertigs	31	na	ones	xz	16229	503069	16229	486840	16228	16228	503069	142356	135924	224	136148	146512	escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.0001	eulertigs	31	na	runsapprox	bzip	16229	503069	16229	486840	16228	16228	503069	142356	135924	49	135973	146512	escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.0001	eulertigs	31	na	runsapprox	xz	16229	503069	16229	486840	16228	16228	503069	142356	135924	224	136148	146512	escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.001	eulertigs	31	na	default	bzip	162298	5025568	162298	4863270	162109	162109	5025568	1429288	1310292	521	1310813	1451156	escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.001	eulertigs	31	na	default	xz	162298	5025568	162298	4863270	162109	162109	5025568	1429288	1310292	1604	1311896	1451156	escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.001	eulertigs	31	na	ones	bzip	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	610	1310902	1451308	escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.001	eulertigs	31	na	ones	xz	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	1788	1312080	1451308	escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.001	eulertigs	31	na	runsapprox	bzip	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	610	1310902	1451308	escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.001	eulertigs	31	na	runsapprox	xz	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	1788	1312080	1451308	escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.01	eulertigs	31	na	default	bzip	1622989	49814809	1622989	48191820	1606394	1606394	49814809	13592668	12468068	28940	12497008	13785812	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.01	eulertigs	31	na	default	xz	1622989	49814809	1622989	48191820	1606394	1606394	49814809	13592668	12468068	54288	12522356	13785812	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.01	eulertigs	31	na	ones	bzip	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	34932	12503000	13788496	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.01	eulertigs	31	na	ones	xz	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	69528	12537596	13788496	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.01	eulertigs	31	na	runsapprox	bzip	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	34932	12503000	13788496	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.01	eulertigs	31	na	runsapprox	xz	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	69528	12537596	13788496	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.05	eulertigs	31	na	default	bzip	8114946	239218806	8114946	231103860	7703462	7703462	239218806	62501696	57026188	487340	57513528	63630552	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.05	eulertigs	31	na	default	xz	8114946	239218806	8114946	231103860	7703462	7703462	239218806	62501696	57026188	881020	57907208	63630552	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.05	eulertigs	31	na	ones	bzip	8114946	239218806	8184504	231034302	7771863	7703462	239218806	62501696	57026188	600734	57626922	63664856	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.05	eulertigs	31	na	ones	xz	8114946	239218806	8184504	231034302	7771863	7703462	239218806	62501696	57026188	1159192	58185380	63664856	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_ones.C_xz
