pref	genome	rate	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.000000001	eulertigs	31	na	default	Command exited with non-zero status 120	0.084059	na	na	na	na	na	na
escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.000000001	eulertigs	31	na	ones	0.00	0.00	0.00	100%	4052	0	0	0.005562
escherichia_coli.k32.r_0.000000001.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.000000001	eulertigs	31	na	runsapprox	0.00	0.00	0.00	100%	4176	0	0	0.006585
escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.0001	eulertigs	31	na	default	Command exited with non-zero status 120	0.087422	na	na	na	na	na	na
escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.0001	eulertigs	31	na	ones	0.07	0.00	0.06	98%	4452	0	0	0.073609
escherichia_coli.k32.r_0.0001.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.0001	eulertigs	31	na	runsapprox	0.08	0.00	0.08	100%	5756	0	0	0.088645
escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.001	eulertigs	31	na	default	Command exited with non-zero status 120	0.409357	na	na	na	na	na	na
escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.001	eulertigs	31	na	ones	0.73	0.00	0.72	99%	6244	0	0	0.733974
escherichia_coli.k32.r_0.001.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.001	eulertigs	31	na	runsapprox	1.14	0.02	1.11	99%	22748	0	0	1.153437
escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.01	eulertigs	31	na	default	Command exited with non-zero status 120	3.017863	na	na	na	na	na	na
escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.01	eulertigs	31	na	ones	10.05	0.07	9.94	99%	37988	0	0	10.062157
escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.01	eulertigs	31	na	runsapprox	16.39	0.19	16.09	99%	220316	0	0	16.392993
escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.05	eulertigs	31	na	default	Command exited with non-zero status 120	14.360654	na	na	na	na	na	na
escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.05	eulertigs	31	na	ones	66.42	0.33	65.98	99%	141068	0	0	66.426252
escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.05	eulertigs	31	na	runsapprox	115.45	0.77	114.35	99%	976360	0	0	115.462883
escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.1	eulertigs	31	na	default	Command exited with non-zero status 120	36.775855	na	na	na	na	na	na
escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.1	eulertigs	31	na	ones	192.34	0.88	190.83	99%	278156	0	0	192.343406
escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.1	eulertigs	31	na	runsapprox	303.80	1.65	301.36	99%	1946512	0	0	303.807704
escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.2	eulertigs	31	na	default	Command exited with non-zero status 120	74.912192	na	na	na	na	na	na
escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.2	eulertigs	31	na	ones	383.75	1.61	381.15	99%	552596	0	0	383.756387
escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.2	eulertigs	31	na	runsapprox	588.78	2.77	584.47	99%	3878664	0	0	588.783256
escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.3	eulertigs	31	na	default	Command exited with non-zero status 120	99.745536	na	na	na	na	na	na
escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.3	eulertigs	31	na	ones	588.75	2.24	584.85	99%	552608	0	0	588.757183
escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.3	eulertigs	31	na	runsapprox	1039.72	5.59	1029.71	99%	4989264	96	0	1039.730058
escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.4	eulertigs	31	na	default	117.52	5.51	103.29	92%	4817588	0	0	120.920954
escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.4	eulertigs	31	na	ones	627.29	2.92	614.08	98%	1101488	0	0	627.324424
escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.4	eulertigs	31	na	runsapprox	1040.26	7.01	1022.42	98%	7685688	0	0	1040.273085
escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.5	eulertigs	31	na	default	65.74	5.11	101.04	161%	5101772	0	0	67.987199
escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.5	eulertigs	31	na	ones	632.03	2.37	628.09	99%	1101496	0	0	632.046423
escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.5	eulertigs	31	na	runsapprox	1155.26	8.00	1130.47	98%	8747500	0	0	1155.273816
escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.6	eulertigs	31	na	default	65.99	5.13	101.17	161%	4998032	0	0	68.101661
escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.6	eulertigs	31	na	ones	649.28	1.89	646.05	99%	1101496	0	0	649.283739
escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.6	eulertigs	31	na	runsapprox	1269.59	15.59	1251.61	99%	9772580	0	0	1269.603028
escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.7	eulertigs	31	na	default	Command exited with non-zero status 120	117.173551	na	na	na	na	na	na
escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.7	eulertigs	31	na	ones	667.82	3.21	638.94	96%	2199248	0	0	667.831341
escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.7	eulertigs	31	na	runsapprox	1075.90	8.62	1044.84	97%	13970976	0	0	1075.93495
escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.8	eulertigs	31	na	default	Command exited with non-zero status 120	82.056935	na	na	na	na	na	na
escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.8	eulertigs	31	na	ones	496.13	1.93	492.30	99%	2199248	0	0	496.139389
escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.8	eulertigs	31	na	runsapprox	907.55	14.74	874.71	98%	14911400	0	0	907.560106
escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	0.9	eulertigs	31	na	default	Command exited with non-zero status 120	51.876469	na	na	na	na	na	na
escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	0.9	eulertigs	31	na	ones	351.41	1.47	348.62	99%	2199180	0	0	351.420852
escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.9	eulertigs	31	na	runsapprox	665.05	7.85	655.31	99%	17004940	0	0	665.061467
escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_default	escherichia_coli.k32	1.0	eulertigs	31	na	default	Command exited with non-zero status 120	5.517609	na	na	na	na	na	na
escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_ones	escherichia_coli.k32	1.0	eulertigs	31	na	ones	110.60	0.63	109.68	99%	2199236	0	0	110.611804
escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	1.0	eulertigs	31	na	runsapprox	253.11	4.83	247.82	99%	16942608	0	0	253.119044
escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.000000001	greedytigs	31	na	default	Command exited with non-zero status 120	0.078105	na	na	na	na	na	na
escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.000000001	greedytigs	31	na	ones	0.00	0.00	0.00	100%	4052	0	0	0.00647
escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.000000001	greedytigs	31	na	runsapprox	0.00	0.00	0.00	100%	4176	0	0	0.007307
escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.0001	greedytigs	31	na	default	Command exited with non-zero status 120	0.092584	na	na	na	na	na	na
escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.0001	greedytigs	31	na	ones	0.06	0.00	0.06	98%	4452	0	0	0.071948
escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.0001	greedytigs	31	na	runsapprox	0.10	0.00	0.10	99%	5756	0	0	0.110384
escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.001	greedytigs	31	na	default	Command exited with non-zero status 120	0.42626	na	na	na	na	na	na
escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.001	greedytigs	31	na	ones	0.76	0.00	0.75	98%	6244	0	0	0.765734
escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.001	greedytigs	31	na	runsapprox	1.13	0.01	1.10	99%	22748	0	0	1.139985
escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.01	greedytigs	31	na	default	Command exited with non-zero status 120	2.481464	na	na	na	na	na	na
escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.01	greedytigs	31	na	ones	9.51	0.09	9.40	99%	37988	0	0	9.51325
escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.01	greedytigs	31	na	runsapprox	17.17	0.13	16.95	99%	220084	0	0	17.1744
escherichia_coli.k32.r_0.05.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.05	greedytigs	31	na	default	Command exited with non-zero status 120	14.451984	na	na	na	na	na	na
escherichia_coli.k32.r_0.05.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.05	greedytigs	31	na	ones	72.35	0.35	71.72	99%	141068	0	0	72.352829
escherichia_coli.k32.r_0.05.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.05	greedytigs	31	na	runsapprox	124.02	0.76	122.97	99%	976332	0	0	124.031043
escherichia_coli.k32.r_0.1.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.1	greedytigs	31	na	default	Command exited with non-zero status 120	37.230181	na	na	na	na	na	na
escherichia_coli.k32.r_0.1.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.1	greedytigs	31	na	ones	181.31	0.64	180.15	99%	278156	0	0	181.320554
escherichia_coli.k32.r_0.1.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.1	greedytigs	31	na	runsapprox	276.24	1.48	273.81	99%	1946484	0	0	276.247758
escherichia_coli.k32.r_0.2.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.2	greedytigs	31	na	default	Command exited with non-zero status 120	74.129666	na	na	na	na	na	na
escherichia_coli.k32.r_0.2.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.2	greedytigs	31	na	ones	354.84	1.51	352.31	99%	552596	0	0	354.847244
escherichia_coli.k32.r_0.2.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.2	greedytigs	31	na	runsapprox	582.78	3.20	577.74	99%	3878496	0	0	582.788275
escherichia_coli.k32.r_0.3.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.3	greedytigs	31	na	default	Command exited with non-zero status 120	96.458143	na	na	na	na	na	na
escherichia_coli.k32.r_0.3.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.3	greedytigs	31	na	ones	571.70	2.11	567.97	99%	552608	0	0	571.708103
escherichia_coli.k32.r_0.3.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.3	greedytigs	31	na	runsapprox	1013.58	5.45	1004.89	99%	4989892	0	0	1013.591539
escherichia_coli.k32.r_0.4.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.4	greedytigs	31	na	default	118.84	5.63	102.80	91%	4817020	0	0	121.409694
escherichia_coli.k32.r_0.4.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.4	greedytigs	31	na	ones	627.03	3.22	619.83	99%	1101488	0	0	627.052409
escherichia_coli.k32.r_0.4.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.4	greedytigs	31	na	runsapprox	1015.12	6.70	981.66	97%	7685892	0	0	1015.123328
escherichia_coli.k32.r_0.5.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.5	greedytigs	31	na	default	67.04	5.22	104.52	163%	5100448	0	0	69.193909
escherichia_coli.k32.r_0.5.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.5	greedytigs	31	na	ones	714.10	3.58	707.78	99%	1101488	0	0	714.105411
escherichia_coli.k32.r_0.5.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.5	greedytigs	31	na	runsapprox	1122.60	8.50	1111.16	99%	8747856	0	0	1122.612208
escherichia_coli.k32.r_0.6.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.6	greedytigs	31	na	default	64.98	5.31	99.37	161%	4993824	0	0	67.174678
escherichia_coli.k32.r_0.6.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.6	greedytigs	31	na	ones	1124.97	3.61	792.79	70%	1101484	0	0	1124.978084
escherichia_coli.k32.r_0.6.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.6	greedytigs	31	na	runsapprox	1299.96	15.57	1281.94	99%	9774248	0	0	1299.968213
escherichia_coli.k32.r_0.7.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.7	greedytigs	31	na	default	Command exited with non-zero status 120	118.111197	na	na	na	na	na	na
escherichia_coli.k32.r_0.7.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.7	greedytigs	31	na	ones	674.08	3.75	650.37	97%	2199248	0	0	674.111449
escherichia_coli.k32.r_0.7.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.7	greedytigs	31	na	runsapprox	1047.66	8.69	1029.86	99%	13976256	0	0	1047.696955
escherichia_coli.k32.r_0.8.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.8	greedytigs	31	na	default	Command exited with non-zero status 120	81.975579	na	na	na	na	na	na
escherichia_coli.k32.r_0.8.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.8	greedytigs	31	na	ones	483.51	2.22	479.73	99%	2199248	0	0	483.518735
escherichia_coli.k32.r_0.8.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.8	greedytigs	31	na	runsapprox	984.65	17.11	930.03	96%	14931112	0	0	984.658831
escherichia_coli.k32.r_0.9.S_greedytigs.k_31.d_na.M_default	escherichia_coli.k32	0.9	greedytigs	31	na	default	Command exited with non-zero status 120	48.922541	na	na	na	na	na	na
escherichia_coli.k32.r_0.9.S_greedytigs.k_31.d_na.M_ones	escherichia_coli.k32	0.9	greedytigs	31	na	ones	340.31	1.46	337.65	99%	2199232	0	0	340.313473
escherichia_coli.k32.r_0.9.S_greedytigs.k_31.d_na.M_runsapprox	escherichia_coli.k32	0.9	greedytigs	31	na	runsapprox	656.85	8.71	646.12	99%	17095048	0	0	656.861093
