pref	genome	rate	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.000000001.S_global.k_13.d_na	escherichia_coli.k32	0.000000001	global	13	na	0.00	0.00	0.00	75%	4072	0	0	0.007631
escherichia_coli.k32.r_0.0001.S_global.k_13.d_na	escherichia_coli.k32	0.0001	global	13	na	0.02	0.00	0.02	92%	4220	0	0	0.03074
escherichia_coli.k32.r_0.001.S_global.k_13.d_na	escherichia_coli.k32	0.001	global	13	na	0.10	0.00	0.10	99%	5312	0	0	0.111409
escherichia_coli.k32.r_0.01.S_global.k_13.d_na	escherichia_coli.k32	0.01	global	13	na	0.94	0.00	0.91	97%	17092	0	0	0.944773
escherichia_coli.k32.r_0.05.S_global.k_13.d_na	escherichia_coli.k32	0.05	global	13	na	5.03	0.03	4.88	97%	70432	0	0	5.040911
escherichia_coli.k32.r_0.1.S_global.k_13.d_na	escherichia_coli.k32	0.1	global	13	na	8.48	0.06	8.26	98%	137076	0	0	8.487311
escherichia_coli.k32.r_0.2.S_global.k_13.d_na	escherichia_coli.k32	0.2	global	13	na	17.26	0.14	16.91	98%	262012	0	0	17.267981
escherichia_coli.k32.r_0.3.S_global.k_13.d_na	escherichia_coli.k32	0.3	global	13	na	24.25	0.17	23.80	98%	399448	0	0	24.256903
escherichia_coli.k32.r_0.4.S_global.k_13.d_na	escherichia_coli.k32	0.4	global	13	na	38.81	0.60	38.01	99%	520228	0	0	38.814817
escherichia_coli.k32.r_0.5.S_global.k_13.d_na	escherichia_coli.k32	0.5	global	13	na	35.81	0.29	35.25	99%	674300	0	0	35.814897
escherichia_coli.k32.r_0.6.S_global.k_13.d_na	escherichia_coli.k32	0.6	global	13	na	43.36	0.32	42.57	98%	795088	0	0	43.370322
escherichia_coli.k32.r_0.7.S_global.k_13.d_na	escherichia_coli.k32	0.7	global	13	na	49.81	0.36	49.12	99%	915880	0	0	49.814908
escherichia_coli.k32.r_0.8.S_global.k_13.d_na	escherichia_coli.k32	0.8	global	13	na	55.02	0.45	54.25	99%	1036660	0	0	55.031227
escherichia_coli.k32.r_0.9.S_global.k_13.d_na	escherichia_coli.k32	0.9	global	13	na	56.00	0.46	55.23	99%	1157456	0	0	56.009282
escherichia_coli.k32.r_1.0.S_global.k_13.d_na	escherichia_coli.k32	1.0	global	13	na	100.45	0.68	99.67	99%	1344796	0	0	100.460543
escherichia_coli.k32.r_0.000000001.S_local.k_13.d_1	escherichia_coli.k32	0.000000001	local	13	1	0.00	0.00	0.00	75%	4068	0	0	0.008269
escherichia_coli.k32.r_0.0001.S_local.k_13.d_1	escherichia_coli.k32	0.0001	local	13	1	0.00	0.00	0.00	88%	4100	0	0	0.013375
escherichia_coli.k32.r_0.001.S_local.k_13.d_1	escherichia_coli.k32	0.001	local	13	1	0.05	0.01	0.03	96%	4720	0	0	0.060366
escherichia_coli.k32.r_0.01.S_local.k_13.d_1	escherichia_coli.k32	0.01	local	13	1	0.55	0.15	0.38	96%	8428	0	0	0.559714
escherichia_coli.k32.r_0.05.S_local.k_13.d_1	escherichia_coli.k32	0.05	local	13	1	2.67	0.66	1.91	96%	21100	0	0	2.68228
escherichia_coli.k32.r_0.1.S_local.k_13.d_1	escherichia_coli.k32	0.1	local	13	1	6.07	1.35	4.55	97%	37996	0	0	6.075951
escherichia_coli.k32.r_0.2.S_local.k_13.d_1	escherichia_coli.k32	0.2	local	13	1	11.72	1.89	9.65	98%	72264	0	0	11.726403
escherichia_coli.k32.r_0.3.S_local.k_13.d_1	escherichia_coli.k32	0.3	local	13	1	13.12	2.42	10.50	98%	141072	0	0	13.12946
escherichia_coli.k32.r_0.4.S_local.k_13.d_1	escherichia_coli.k32	0.4	local	13	1	24.34	3.12	21.07	99%	141068	0	0	24.348399
escherichia_coli.k32.r_0.5.S_local.k_13.d_1	escherichia_coli.k32	0.5	local	13	1	20.40	2.95	17.16	98%	278156	0	0	20.409715
escherichia_coli.k32.r_0.6.S_local.k_13.d_1	escherichia_coli.k32	0.6	local	13	1	25.20	2.90	22.01	98%	278160	0	0	25.214176
escherichia_coli.k32.r_0.7.S_local.k_13.d_1	escherichia_coli.k32	0.7	local	13	1	28.06	2.91	24.65	98%	278160	0	0	28.072791
escherichia_coli.k32.r_0.8.S_local.k_13.d_1	escherichia_coli.k32	0.8	local	13	1	29.67	2.20	27.00	98%	278160	0	0	29.680081
escherichia_coli.k32.r_0.9.S_local.k_13.d_1	escherichia_coli.k32	0.9	local	13	1	35.29	1.78	33.24	99%	278160	0	0	35.296716
escherichia_coli.k32.r_1.0.S_local.k_13.d_1	escherichia_coli.k32	1.0	local	13	1	70.67	1.27	69.34	99%	552600	0	0	70.682812
