genome	rate	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	0.000000001	global	9	na	default	EliasFano	1	9	1	8	1	76	8	84	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.000000001	global	9	na	default	bzip	1	9	1	8	1	76	41	117	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.000000001	global	9	na	default	rrr	1	9	1	8	1	76	91	167	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.000000001	global	9	na	default	xz	1	9	1	8	1	76	76	152	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.000000001	global	9	na	ones	EliasFano	1	9	1	8	1	76	8	84	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.000000001	global	9	na	ones	bzip	1	9	1	8	1	76	41	117	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.000000001	global	9	na	ones	rrr	1	9	1	8	1	76	91	167	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.000000001	global	9	na	ones	xz	1	9	1	8	1	76	76	152	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.000000001	global	9	na	runs	EliasFano	1	9	1	8	1	76	8	84	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.000000001	global	9	na	runs	bzip	1	9	1	8	1	76	41	117	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.000000001	global	9	na	runs	rrr	1	9	1	8	1	76	91	167	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.000000001	global	9	na	runs	xz	1	9	1	8	1	76	76	152	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.000000001	global	9	na	runsapprox	EliasFano	1	9	1	8	1	76	8	84	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.000000001	global	9	na	runsapprox	bzip	1	9	1	8	1	76	41	117	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.000000001	global	9	na	runsapprox	rrr	1	9	1	8	1	76	91	167	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.000000001	global	9	na	runsapprox	xz	1	9	1	8	1	76	76	152	76	escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.0001	global	9	na	default	EliasFano	13	98	13	85	13	128	16	144	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.0001	global	9	na	default	bzip	13	98	13	85	13	128	50	178	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.0001	global	9	na	default	rrr	13	98	13	85	13	128	99	227	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.0001	global	9	na	default	xz	13	98	13	85	13	128	88	216	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.0001	global	9	na	ones	EliasFano	13	98	13	85	13	128	16	144	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.0001	global	9	na	ones	bzip	13	98	13	85	13	128	50	178	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.0001	global	9	na	ones	rrr	13	98	13	85	13	128	99	227	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_ones.C_rrr
