pref	genome	rate	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.000000001	global	9	na	default	0.00	0.00	0.00	66%	1332	0	0	0.008431
escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.000000001	global	9	na	ones	0.00	0.00	0.00	50%	4056	8	0	0.00721
escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.000000001	global	9	na	runs	0.00	0.00	0.00	100%	4232	0	0	0.007877
escherichia_coli.k32.r_0.000000001.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.000000001	global	9	na	runsapprox	0.00	0.00	0.00	100%	4232	0	0	0.006486
escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.0001	global	9	na	default	0.00	0.00	0.00	100%	1324	0	0	0.007682
escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.0001	global	9	na	ones	0.00	0.00	0.00	100%	4056	0	0	0.008202
escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.0001	global	9	na	runs	0.01	0.00	0.00	27%	4236	8	0	0.014185
escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.0001	global	9	na	runsapprox	0.00	0.00	0.00	100%	4236	0	0	0.008609
escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.001	global	9	na	default	0.00	0.00	0.00	100%	1328	0	0	0.008079
escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.001	global	9	na	ones	0.00	0.00	0.00	66%	4056	8	0	0.009196
escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.001	global	9	na	runs	0.00	0.00	0.00	100%	4256	0	0	0.006211
escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.001	global	9	na	runsapprox	0.00	0.00	0.00	100%	4256	0	0	0.006477
escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.01	global	9	na	default	0.00	0.00	0.00	100%	1336	0	0	0.007091
escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.01	global	9	na	ones	0.00	0.00	0.00	71%	4076	16	0	0.011427
escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.01	global	9	na	runs	0.00	0.00	0.00	100%	4388	0	0	0.008317
escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.01	global	9	na	runsapprox	0.00	0.00	0.00	75%	4388	0	0	0.007198
escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.05	global	9	na	default	0.00	0.00	0.00	100%	1352	0	0	0.008834
escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.05	global	9	na	ones	0.02	0.00	0.00	29%	4220	0	0	0.031978
escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.05	global	9	na	runs	0.03	0.00	0.00	21%	5276	40	0	0.035281
escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.05	global	9	na	runsapprox	0.01	0.00	0.00	61%	4952	0	0	0.01781
escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.1	global	9	na	default	0.00	0.00	0.00	100%	1372	0	0	0.00807
escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.1	global	9	na	ones	0.00	0.00	0.00	88%	4452	0	0	0.013572
