genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumoniae	2	pseudosimplitigs	loc-greedy	HT	1	default	10	12	10	2	2	68	68	136	68	8460000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_2.d_1	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_default
spneumoniae	2	pseudosimplitigs	loc-greedy	HT	1	ones	10	12	11	1	1	68	68	136	68	8460000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_2.d_1	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_ones
spneumoniae	2	pseudosimplitigs	loc-greedy	HT	1	runs	10	12	11	1	1	68	68	136	68	8460000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_2.d_1	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_runs
spneumoniae	2	pseudosimplitigs	loc-greedy	HT	1	zeros	10	12	10	2	2	68	68	136	68	8460000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_2.d_1	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_zeros
spneumoniae	2	pseudosimplitigsAC	loc-greedy	AC	1	default	10	12	10	2	2	68	68	136	68	8420000	0.09	0.06	0	spneumoniae.S_pseudosimplitigsAC.k_2.d_1	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_default
spneumoniae	2	pseudosimplitigsAC	loc-greedy	AC	1	ones	10	12	11	1	1	68	68	136	68	8420000	0.09	0.06	0	spneumoniae.S_pseudosimplitigsAC.k_2.d_1	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_ones
spneumoniae	2	pseudosimplitigsAC	loc-greedy	AC	1	runs	10	12	11	1	1	68	68	136	68	8420000	0.09	0.06	0	spneumoniae.S_pseudosimplitigsAC.k_2.d_1	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_runs
spneumoniae	2	pseudosimplitigsAC	loc-greedy	AC	1	zeros	10	12	10	2	2	68	68	136	68	8420000	0.09	0.06	0	spneumoniae.S_pseudosimplitigsAC.k_2.d_1	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_zeros
spneumoniae	3	pseudosimplitigs	loc-greedy	HT	1	default	32	36	32	4	2	92	72	164	96	8408000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_3.d_1	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_default
spneumoniae	3	pseudosimplitigs	loc-greedy	HT	1	ones	32	36	34	2	1	92	72	164	92	8408000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_3.d_1	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_ones
