genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	tigs_ns	tigs_cl	enc0_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
E. coli pangenome	7	eulertigs	eulertigs	na	na	default	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_7.d_na	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_default
E. coli pangenome	7	eulertigs	eulertigs	na	na	ones	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_7.d_na	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_ones
E. coli pangenome	7	eulertigs	eulertigs	na	na	runs	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_7.d_na	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runs
E. coli pangenome	7	eulertigs	eulertigs	na	na	zeros	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_7.d_na	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros
E. coli pangenome	7	greedytigs	greedytigs	na	na	default	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_7.d_na	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default
E. coli pangenome	7	greedytigs	greedytigs	na	na	ones	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_7.d_na	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones
E. coli pangenome	7	greedytigs	greedytigs	na	na	runs	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_7.d_na	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs
E. coli pangenome	7	greedytigs	greedytigs	na	na	zeros	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_7.d_na	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros
E. coli pangenome	7	matchtigs	matchtigs	na	na	default	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_7.d_na	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default
E. coli pangenome	7	matchtigs	matchtigs	na	na	ones	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_7.d_na	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones
E. coli pangenome	7	matchtigs	matchtigs	na	na	runs	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_7.d_na	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs
E. coli pangenome	7	matchtigs	matchtigs	na	na	zeros	8192	8198	8192	6	1	2588	108	2696	2588	1	8198	2588	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_7.d_na	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros
E. coli pangenome	7	prophasm	prophasm	na	na	default	8192	8660	8192	468	78	1604	224	1828	1764	78	8660	1584	na	na	na	na	escherichia_coli.k32.S_prophasm.k_7.d_na	escherichia_coli.k32.S_prophasm.k_7.d_na.M_default
E. coli pangenome	7	prophasm	prophasm	na	na	ones	8192	8660	8654	6	1	1604	108	1712	1608	78	8660	1584	na	na	na	na	escherichia_coli.k32.S_prophasm.k_7.d_na	escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones
E. coli pangenome	7	prophasm	prophasm	na	na	runs	8192	8660	8654	6	1	1604	108	1712	1608	78	8660	1584	na	na	na	na	escherichia_coli.k32.S_prophasm.k_7.d_na	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs
E. coli pangenome	7	prophasm	prophasm	na	na	zeros	8192	8660	8192	468	145	1604	360	1964	1848	78	8660	1584	na	na	na	na	escherichia_coli.k32.S_prophasm.k_7.d_na	escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros
E. coli pangenome	8	eulertigs	eulertigs	na	na	default	32896	33778	32896	882	126	9652	372	10024	10016	126	33778	9888	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_8.d_na	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default
E. coli pangenome	8	eulertigs	eulertigs	na	na	ones	32896	33778	33771	7	1	9652	136	9788	9652	126	33778	9888	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_8.d_na	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones
E. coli pangenome	8	eulertigs	eulertigs	na	na	runs	32896	33778	33771	7	1	9652	136	9788	9652	126	33778	9888	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_8.d_na	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runs
E. coli pangenome	8	eulertigs	eulertigs	na	na	zeros	32896	33778	32896	882	393	9652	872	10524	10268	126	33778	9888	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_8.d_na	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_zeros
E. coli pangenome	8	greedy	glob-greedy	HT	na	default	32896	33288	32896	392	131	9676	492	10168	10008	na	na	na	5352000	19.22	18.07	0.26	escherichia_coli.k32.S_greedy.k_8.d_na	escherichia_coli.k32.S_greedy.k_8.d_na.M_default
E. coli pangenome	8	greedy	glob-greedy	HT	na	ones	32896	33288	33281	7	1	9676	136	9812	9680	na	na	na	5352000	19.22	18.07	0.26	escherichia_coli.k32.S_greedy.k_8.d_na	escherichia_coli.k32.S_greedy.k_8.d_na.M_ones
E. coli pangenome	8	greedy	glob-greedy	HT	na	runs	32896	33288	33281	7	1	9676	136	9812	9680	na	na	na	5352000	19.22	18.07	0.26	escherichia_coli.k32.S_greedy.k_8.d_na	escherichia_coli.k32.S_greedy.k_8.d_na.M_runs
E. coli pangenome	8	greedytigs	greedytigs	na	na	default	32896	33273	33266	7	1	9516	136	9652	9524	1	33273	9516	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_8.d_na	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_default
E. coli pangenome	8	greedytigs	greedytigs	na	na	ones	32896	33273	33266	7	1	9516	136	9652	9524	1	33273	9516	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_8.d_na	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_ones
E. coli pangenome	8	greedytigs	greedytigs	na	na	runs	32896	33273	33266	7	1	9516	136	9652	9524	1	33273	9516	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_8.d_na	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runs
E. coli pangenome	8	greedytigs	greedytigs	na	na	zeros	32896	33273	32896	377	256	9516	704	10220	9944	1	33273	9516	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_8.d_na	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_zeros
E. coli pangenome	8	local	local	na	1	default	32896	35087	32896	2191	313	4616	564	5180	5444	na	na	na	881220000	30.81	19.96	0.81	escherichia_coli.k32.S_local.k_8.d_1	escherichia_coli.k32.S_local.k_8.d_1.M_default
E. coli pangenome	8	local	local	na	1	ones	32896	35087	35080	7	1	4616	136	4752	4616	na	na	na	881220000	30.81	19.96	0.81	escherichia_coli.k32.S_local.k_8.d_1	escherichia_coli.k32.S_local.k_8.d_1.M_ones
E. coli pangenome	8	local	local	na	1	runs	32896	35087	35080	7	1	4616	136	4752	4616	na	na	na	881220000	30.81	19.96	0.81	escherichia_coli.k32.S_local.k_8.d_1	escherichia_coli.k32.S_local.k_8.d_1.M_runs
E. coli pangenome	8	local	local	na	2	default	32896	34337	32896	1441	439	4296	764	5060	5172	na	na	na	881220000	35.23	22.43	0.7	escherichia_coli.k32.S_local.k_8.d_2	escherichia_coli.k32.S_local.k_8.d_2.M_default
E. coli pangenome	8	local	local	na	2	ones	32896	34337	34330	7	1	4296	136	4432	4300	na	na	na	881220000	35.23	22.43	0.7	escherichia_coli.k32.S_local.k_8.d_2	escherichia_coli.k32.S_local.k_8.d_2.M_ones
E. coli pangenome	8	local	local	na	2	runs	32896	34337	34330	7	1	4296	136	4432	4300	na	na	na	881220000	35.23	22.43	0.7	escherichia_coli.k32.S_local.k_8.d_2	escherichia_coli.k32.S_local.k_8.d_2.M_runs
E. coli pangenome	8	local	local	na	3	default	32896	34913	32896	2017	1275	5208	1336	6544	6476	na	na	na	881220000	30.53	19.94	0.83	escherichia_coli.k32.S_local.k_8.d_3	escherichia_coli.k32.S_local.k_8.d_3.M_default
E. coli pangenome	8	local	local	na	3	ones	32896	34913	34906	7	1	5208	136	5344	5212	na	na	na	881220000	30.53	19.94	0.83	escherichia_coli.k32.S_local.k_8.d_3	escherichia_coli.k32.S_local.k_8.d_3.M_ones
E. coli pangenome	8	local	local	na	3	runs	32896	34913	34906	7	1	5208	136	5344	5212	na	na	na	881220000	30.53	19.94	0.83	escherichia_coli.k32.S_local.k_8.d_3	escherichia_coli.k32.S_local.k_8.d_3.M_runs
E. coli pangenome	8	local	local	na	4	default	32896	34799	32896	1903	1322	5144	1380	6524	6424	na	na	na	881216000	30.86	19.86	0.9	escherichia_coli.k32.S_local.k_8.d_4	escherichia_coli.k32.S_local.k_8.d_4.M_default
E. coli pangenome	8	local	local	na	4	ones	32896	34799	34792	7	1	5144	136	5280	5148	na	na	na	881216000	30.86	19.86	0.9	escherichia_coli.k32.S_local.k_8.d_4	escherichia_coli.k32.S_local.k_8.d_4.M_ones
E. coli pangenome	8	local	local	na	4	runs	32896	34799	34792	7	1	5144	136	5280	5148	na	na	na	881216000	30.86	19.86	0.9	escherichia_coli.k32.S_local.k_8.d_4	escherichia_coli.k32.S_local.k_8.d_4.M_runs
E. coli pangenome	8	local	local	na	5	default	32896	34759	32896	1863	1330	4960	1384	6344	6384	na	na	na	881220000	30.48	20.05	0.78	escherichia_coli.k32.S_local.k_8.d_5	escherichia_coli.k32.S_local.k_8.d_5.M_default
E. coli pangenome	8	local	local	na	5	ones	32896	34759	34752	7	1	4960	136	5096	4964	na	na	na	881220000	30.48	20.05	0.78	escherichia_coli.k32.S_local.k_8.d_5	escherichia_coli.k32.S_local.k_8.d_5.M_ones
E. coli pangenome	8	local	local	na	5	runs	32896	34759	34752	7	1	4960	136	5096	4964	na	na	na	881220000	30.48	20.05	0.78	escherichia_coli.k32.S_local.k_8.d_5	escherichia_coli.k32.S_local.k_8.d_5.M_runs
E. coli pangenome	8	matchtigs	matchtigs	na	na	default	32896	33264	33257	7	1	9492	136	9628	9496	1	33264	9492	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_8.d_na	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_default
E. coli pangenome	8	matchtigs	matchtigs	na	na	ones	32896	33264	33257	7	1	9492	136	9628	9496	1	33264	9492	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_8.d_na	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_ones
E. coli pangenome	8	matchtigs	matchtigs	na	na	runs	32896	33264	33257	7	1	9492	136	9628	9496	1	33264	9492	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_8.d_na	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runs
E. coli pangenome	8	matchtigs	matchtigs	na	na	zeros	32896	33264	32896	368	208	9492	580	10072	9876	1	33264	9492	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_8.d_na	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_zeros
E. coli pangenome	8	prophasm	prophasm	na	na	default	32896	34919	32896	2023	289	4332	568	4900	5164	289	34919	4616	na	na	na	na	escherichia_coli.k32.S_prophasm.k_8.d_na	escherichia_coli.k32.S_prophasm.k_8.d_na.M_default
E. coli pangenome	8	prophasm	prophasm	na	na	ones	32896	34919	34912	7	1	4332	136	4468	4340	289	34919	4616	na	na	na	na	escherichia_coli.k32.S_prophasm.k_8.d_na	escherichia_coli.k32.S_prophasm.k_8.d_na.M_ones
E. coli pangenome	8	prophasm	prophasm	na	na	runs	32896	34919	34912	7	1	4332	136	4468	4340	289	34919	4616	na	na	na	na	escherichia_coli.k32.S_prophasm.k_8.d_na	escherichia_coli.k32.S_prophasm.k_8.d_na.M_runs
E. coli pangenome	8	prophasm	prophasm	na	na	zeros	32896	34919	32896	2023	520	4332	996	5328	5448	289	34919	4616	na	na	na	na	escherichia_coli.k32.S_prophasm.k_8.d_na	escherichia_coli.k32.S_prophasm.k_8.d_na.M_zeros
E. coli pangenome	9	eulertigs	eulertigs	na	na	default	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_9.d_na	escherichia_coli.k32.S_eulertigs.k_9.d_na.M_default
E. coli pangenome	9	eulertigs	eulertigs	na	na	ones	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_9.d_na	escherichia_coli.k32.S_eulertigs.k_9.d_na.M_ones
E. coli pangenome	9	eulertigs	eulertigs	na	na	runs	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_9.d_na	escherichia_coli.k32.S_eulertigs.k_9.d_na.M_runs
E. coli pangenome	9	eulertigs	eulertigs	na	na	zeros	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_9.d_na	escherichia_coli.k32.S_eulertigs.k_9.d_na.M_zeros
E. coli pangenome	9	greedy	glob-greedy	HT	na	default	131072	131115	131072	43	6	36800	176	36976	36844	na	na	na	11896000	19.82	18.55	0.3	escherichia_coli.k32.S_greedy.k_9.d_na	escherichia_coli.k32.S_greedy.k_9.d_na.M_default
E. coli pangenome	9	greedy	glob-greedy	HT	na	ones	131072	131115	131107	8	1	36800	156	36956	36808	na	na	na	11896000	19.82	18.55	0.3	escherichia_coli.k32.S_greedy.k_9.d_na	escherichia_coli.k32.S_greedy.k_9.d_na.M_ones
E. coli pangenome	9	greedy	glob-greedy	HT	na	runs	131072	131115	131107	8	1	36800	156	36956	36808	na	na	na	11896000	19.82	18.55	0.3	escherichia_coli.k32.S_greedy.k_9.d_na	escherichia_coli.k32.S_greedy.k_9.d_na.M_runs
E. coli pangenome	9	greedytigs	greedytigs	na	na	default	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_9.d_na	escherichia_coli.k32.S_greedytigs.k_9.d_na.M_default
E. coli pangenome	9	greedytigs	greedytigs	na	na	ones	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_9.d_na	escherichia_coli.k32.S_greedytigs.k_9.d_na.M_ones
E. coli pangenome	9	greedytigs	greedytigs	na	na	runs	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_9.d_na	escherichia_coli.k32.S_greedytigs.k_9.d_na.M_runs
E. coli pangenome	9	greedytigs	greedytigs	na	na	zeros	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_9.d_na	escherichia_coli.k32.S_greedytigs.k_9.d_na.M_zeros
E. coli pangenome	9	local	local	na	1	default	131072	136064	131072	4992	624	11948	976	12924	14188	na	na	na	902740000	63.29	51.21	0.89	escherichia_coli.k32.S_local.k_9.d_1	escherichia_coli.k32.S_local.k_9.d_1.M_default
E. coli pangenome	9	local	local	na	1	ones	131072	136064	136056	8	1	11948	156	12104	11956	na	na	na	902740000	63.29	51.21	0.89	escherichia_coli.k32.S_local.k_9.d_1	escherichia_coli.k32.S_local.k_9.d_1.M_ones
E. coli pangenome	9	local	local	na	1	runs	131072	136064	136056	8	1	11948	156	12104	11956	na	na	na	902740000	63.29	51.21	0.89	escherichia_coli.k32.S_local.k_9.d_1	escherichia_coli.k32.S_local.k_9.d_1.M_runs
E. coli pangenome	9	local	local	na	2	default	131072	134187	131072	3115	840	12248	1428	13676	14148	na	na	na	902740000	75.35	61.51	1.4	escherichia_coli.k32.S_local.k_9.d_2	escherichia_coli.k32.S_local.k_9.d_2.M_default
E. coli pangenome	9	local	local	na	2	ones	131072	134187	134179	8	1	12248	156	12404	12260	na	na	na	902740000	75.35	61.51	1.4	escherichia_coli.k32.S_local.k_9.d_2	escherichia_coli.k32.S_local.k_9.d_2.M_ones
E. coli pangenome	9	local	local	na	2	runs	131072	134187	134179	8	1	12248	156	12404	12260	na	na	na	902740000	75.35	61.51	1.4	escherichia_coli.k32.S_local.k_9.d_2	escherichia_coli.k32.S_local.k_9.d_2.M_runs
E. coli pangenome	9	local	local	na	3	default	131072	134286	131072	3214	1979	14780	2896	17676	17672	na	na	na	902740000	59.25	47.97	0.89	escherichia_coli.k32.S_local.k_9.d_3	escherichia_coli.k32.S_local.k_9.d_3.M_default
E. coli pangenome	9	local	local	na	3	ones	131072	134286	134278	8	1	14780	156	14936	14788	na	na	na	902740000	59.25	47.97	0.89	escherichia_coli.k32.S_local.k_9.d_3	escherichia_coli.k32.S_local.k_9.d_3.M_ones
E. coli pangenome	9	local	local	na	3	runs	131072	134286	134278	8	1	14780	156	14936	14788	na	na	na	902740000	59.25	47.97	0.89	escherichia_coli.k32.S_local.k_9.d_3	escherichia_coli.k32.S_local.k_9.d_3.M_runs
E. coli pangenome	9	local	local	na	4	default	131072	135266	131072	4194	3086	14932	3568	18500	19944	na	na	na	902736000	63.78	51.86	0.89	escherichia_coli.k32.S_local.k_9.d_4	escherichia_coli.k32.S_local.k_9.d_4.M_default
E. coli pangenome	9	local	local	na	4	ones	131072	135266	135258	8	1	14932	156	15088	14940	na	na	na	902736000	63.78	51.86	0.89	escherichia_coli.k32.S_local.k_9.d_4	escherichia_coli.k32.S_local.k_9.d_4.M_ones
E. coli pangenome	9	local	local	na	4	runs	131072	135266	135258	8	1	14932	156	15088	14940	na	na	na	902736000	63.78	51.86	0.89	escherichia_coli.k32.S_local.k_9.d_4	escherichia_coli.k32.S_local.k_9.d_4.M_runs
