genome	rate	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	tigs_ns	tigs_cl	enc0_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumo_pangenome_subsampled	1e-9	12	eulertigs	eulertigs	na	na	default	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na.M_default
spneumo_pangenome_subsampled	1e-9	12	eulertigs	eulertigs	na	na	ones	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na.M_ones
spneumo_pangenome_subsampled	1e-9	12	eulertigs	eulertigs	na	na	runs	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na.M_runs
spneumo_pangenome_subsampled	1e-9	12	eulertigs	eulertigs	na	na	zeros	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_eulertigs.k_12.d_na.M_zeros
spneumo_pangenome_subsampled	1e-9	12	greedy	glob-greedy	HT	na	default	1	12	1	11	1	68	68	136	68	na	na	na	3640000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na.M_default
spneumo_pangenome_subsampled	1e-9	12	greedy	glob-greedy	HT	na	ones	1	12	1	11	1	68	68	136	68	na	na	na	3640000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na.M_ones
spneumo_pangenome_subsampled	1e-9	12	greedy	glob-greedy	HT	na	runs	1	12	1	11	1	68	68	136	68	na	na	na	3640000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na.M_runs
spneumo_pangenome_subsampled	1e-9	12	greedy	glob-greedy	HT	na	zeros	1	12	1	11	1	68	68	136	68	na	na	na	3640000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedy.k_12.d_na.M_zeros
spneumo_pangenome_subsampled	1e-9	12	greedyAC	glob-greedy	AC	na	default	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na.M_default
spneumo_pangenome_subsampled	1e-9	12	greedyAC	glob-greedy	AC	na	ones	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na.M_ones
spneumo_pangenome_subsampled	1e-9	12	greedyAC	glob-greedy	AC	na	runs	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na.M_runs
spneumo_pangenome_subsampled	1e-9	12	greedyAC	glob-greedy	AC	na	zeros	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedyAC.k_12.d_na.M_zeros
spneumo_pangenome_subsampled	1e-9	12	greedytigs	greedytigs	na	na	default	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na.M_default
spneumo_pangenome_subsampled	1e-9	12	greedytigs	greedytigs	na	na	ones	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na.M_ones
spneumo_pangenome_subsampled	1e-9	12	greedytigs	greedytigs	na	na	runs	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na.M_runs
spneumo_pangenome_subsampled	1e-9	12	greedytigs	greedytigs	na	na	zeros	1	12	1	11	1	68	68	136	68	1	12	72	na	na	na	na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na	spneumo_pangenome_subsampled.r_0.000000001.S_greedytigs.k_12.d_na.M_zeros
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	1	default	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1.M_default
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	1	ones	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1.M_ones
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	1	runs	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1.M_runs
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	1	zeros	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_1.M_zeros
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	2	default	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2.M_default
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	2	ones	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2.M_ones
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	2	runs	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2.M_runs
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	2	zeros	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_2.M_zeros
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	3	default	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_3	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_3.M_default
spneumo_pangenome_subsampled	1e-9	12	pseudosimplitigs	loc-greedy	HT	3	ones	1	12	1	11	1	68	68	136	68	na	na	na	3768000	0	0	0	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_3	spneumo_pangenome_subsampled.r_0.000000001.S_pseudosimplitigs.k_12.d_3.M_ones
