pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	15	na	0	0.59	0.01	0.57	99%	52224	14568	0	0.596607
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	15	na	Neg	0.57	0.02	0.54	99%	52224	0	0	0.574621
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	15	na	Pos	0.72	0.03	0.68	98%	52224	2256	0	0.728048
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	17	na	0	0.64	0.02	0.61	99%	56976	17208	0	0.647969
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	17	na	Neg	0.61	0.02	0.59	99%	56976	0	0	0.618282
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	17	na	Pos	0.76	0.04	0.70	98%	56976	2624	0	0.769104
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	19	na	0	0.83	0.02	0.80	99%	57332	20328	0	0.839993
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	19	na	Neg	0.68	0.02	0.65	99%	57412	0	0	0.685737
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	19	na	Pos	0.98	0.03	0.94	98%	57332	2856	0	0.994864
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	21	na	0	0.81	0.01	0.79	99%	56824	20632	0	0.821316
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	21	na	Neg	0.79	0.02	0.76	99%	56792	0	0	0.798413
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	21	na	Pos	0.98	0.03	0.94	99%	56824	54896	0	0.989995
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	23	na	0	0.87	0.03	0.83	99%	56920	23816	0	0.880671
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	23	na	Neg	0.84	0.03	0.80	99%	56920	0	0	0.849281
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	23	na	Pos	0.93	0.05	0.88	99%	56920	35840	0	0.94256
