genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref	Q_time_s	Q_mem_kb	qType	SI_time_s	SI_mem_kb
escherichia_coli.k32	0.01	FMSIv02	global	15	na	975841	1000000	1656925	FMSIv02.escherichia_coli.k32.S_global.k_15.d_na	2.2	5352	0	4.63	91424
escherichia_coli.k32	0.01	FMSIv02	global	15	na	975841	1000000	1656925	FMSIv02.escherichia_coli.k32.S_global.k_15.d_na	2.19	5248	Neg	4.63	91424
escherichia_coli.k32	0.01	FMSIv02	global	15	na	975841	1000000	1656925	FMSIv02.escherichia_coli.k32.S_global.k_15.d_na	1.94	5248	Pos	4.63	91424
escherichia_coli.k32	0.01	FMSIv02	local	15	1	975841	1000000	4356214	FMSIv02.escherichia_coli.k32.S_local.k_15.d_1	2.59	8136	0	5.85	270836
escherichia_coli.k32	0.01	FMSIv02	local	15	1	975841	1000000	4356214	FMSIv02.escherichia_coli.k32.S_local.k_15.d_1	2.47	8136	Neg	5.85	270836
escherichia_coli.k32	0.01	FMSIv02	local	15	1	975841	1000000	4356214	FMSIv02.escherichia_coli.k32.S_local.k_15.d_1	1.64	7884	Pos	5.85	270836
escherichia_coli.k32	0.01	FMSIv02	local	15	2	975841	1000000	4201238	FMSIv02.escherichia_coli.k32.S_local.k_15.d_2	2.25	7884	0	7.1	260024
escherichia_coli.k32	0.01	FMSIv02	local	15	2	975841	1000000	4201238	FMSIv02.escherichia_coli.k32.S_local.k_15.d_2	2.31	7884	Neg	7.1	260024
escherichia_coli.k32	0.01	FMSIv02	local	15	2	975841	1000000	4201238	FMSIv02.escherichia_coli.k32.S_local.k_15.d_2	1.53	7884	Pos	7.1	260024
escherichia_coli.k32	0.01	FMSIv02	local	15	3	975841	1000000	3805053	FMSIv02.escherichia_coli.k32.S_local.k_15.d_3	2.4099999999999997	7568	0	10.83	233016
escherichia_coli.k32	0.01	FMSIv02	local	15	3	975841	1000000	3805053	FMSIv02.escherichia_coli.k32.S_local.k_15.d_3	2.38	7568	Neg	10.83	233016
