pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	15	0	index	29.54	2.10	28.09	102%	612124	8	1855624	29.550792
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	15	1	index	15.09	1.06	14.30	101%	310612	0	920168	15.101211
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	15	2	index	32.03	1.91	30.77	102%	611900	8	1854368	32.042365
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	17	0	index	45.53	2.52	44.00	102%	873508	0	2689248	45.542693
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	17	1	index	22.94	1.58	21.84	102%	456636	8	1333368	22.946452
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	17	2	index	48.26	2.98	46.22	101%	872148	0	2685976	48.269206
escherichia_coli.k32.r_0.01.S_none.k_19.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	19	0	index	60.18	3.87	57.42	101%	950332	0	3182608	60.185856
escherichia_coli.k32.r_0.01.S_none.k_19.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	19	1	index	26.17	1.18	25.39	101%	497896	0	1572568	26.181959
escherichia_coli.k32.r_0.01.S_none.k_19.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	19	2	index	62.54	3.31	60.41	101%	950256	0	3177008	62.545977
escherichia_coli.k32.r_0.01.S_none.k_21.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	21	0	index	67.40	4.16	64.48	101%	1049136	0	3667664	67.407209
escherichia_coli.k32.r_0.01.S_none.k_21.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	21	1	index	32.01	2.07	30.53	101%	545972	0	1816232	32.014539
escherichia_coli.k32.r_0.01.S_none.k_21.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	21	2	index	71.16	3.71	68.47	101%	1049092	0	3659496	71.165045
escherichia_coli.k32.r_0.01.S_none.k_23.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	23	0	index	78.30	4.44	75.20	101%	1184724	0	4149160	78.310816
escherichia_coli.k32.r_0.01.S_none.k_23.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	23	1	index	37.79	2.40	36.13	101%	614900	0	2049176	37.796376
escherichia_coli.k32.r_0.01.S_none.k_23.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	23	2	index	96.72	4.54	93.62	101%	1186008	0	4138216	96.725886
