pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	15	0	0	0.49	0.01	0.47	99%	36704	13736	0	0.498282
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	15	0	Neg	0.47	0.00	0.46	99%	36704	0	0	0.479581
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	15	0	Pos	0.62	0.01	0.60	100%	36704	0	0	0.628801
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	15	1	0	0.87	0.02	0.85	99%	33800	8264	0	0.879928
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	15	1	Neg	0.84	0.02	0.82	100%	33800	0	0	0.846283
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	15	1	Pos	1.06	0.02	1.01	96%	33800	95488	0	1.07072
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	15	2	0	2.78	0.01	2.76	99%	36228	12592	0	2.787209
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	15	2	Neg	2.60	0.01	2.58	99%	36228	0	0	2.605808
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	15	2	Pos	4.12	0.01	4.11	99%	36228	0	0	4.13028
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	17	0	0	0.55	0.01	0.53	99%	41124	22280	0	0.560213
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	17	0	Neg	0.53	0.01	0.51	100%	41124	0	0	0.53784
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	17	0	Pos	0.77	0.01	0.75	99%	41124	0	0	0.779593
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	17	1	0	1.23	0.02	1.20	99%	35912	0	0	1.234314
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	17	1	Neg	0.92	0.01	0.90	99%	35912	0	0	0.92811
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	17	1	Pos	1.22	0.03	1.15	97%	35912	103176	0	1.22878
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	17	2	0	2.95	0.01	2.93	99%	39588	19024	0	2.959519
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	17	2	Neg	2.74	0.02	2.71	99%	39588	0	0	2.749149
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	17	2	Pos	4.95	0.01	4.93	99%	39588	0	0	4.954475
escherichia_coli.k32.r_0.01.S_none.k_19.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	19	0	0	0.65	0.03	0.61	99%	45212	29256	0	0.659582
escherichia_coli.k32.r_0.01.S_none.k_19.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	19	0	Neg	0.56	0.01	0.55	100%	45212	0	0	0.572385
escherichia_coli.k32.r_0.01.S_none.k_19.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	19	0	Pos	0.92	0.01	0.90	99%	45212	0	0	0.927824
escherichia_coli.k32.r_0.01.S_none.k_19.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	19	1	0	1.06	0.02	1.01	97%	38024	87664	0	1.067177
escherichia_coli.k32.r_0.01.S_none.k_19.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	19	1	Neg	0.98	0.02	0.96	99%	38024	0	0	0.99373
escherichia_coli.k32.r_0.01.S_none.k_19.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	19	1	Pos	1.37	0.03	1.30	97%	38024	111120	0	1.376976
escherichia_coli.k32.r_0.01.S_none.k_19.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	19	2	0	3.21	0.00	3.18	99%	42424	24152	0	3.223435
escherichia_coli.k32.r_0.01.S_none.k_19.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	19	2	Neg	2.93	0.02	2.90	99%	42424	0	0	2.936188
escherichia_coli.k32.r_0.01.S_none.k_19.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	19	2	Pos	6.03	0.00	6.02	99%	42424	0	0	6.037929
escherichia_coli.k32.r_0.01.S_none.k_21.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	21	0	0	0.74	0.03	0.70	99%	49364	36384	0	0.748163
escherichia_coli.k32.r_0.01.S_none.k_21.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	21	0	Neg	0.62	0.02	0.60	100%	49300	0	0	0.631029
escherichia_coli.k32.r_0.01.S_none.k_21.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	21	0	Pos	1.22	0.02	1.18	98%	49364	52240	0	1.227152
escherichia_coli.k32.r_0.01.S_none.k_21.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	21	1	0	1.10	0.02	1.07	99%	40200	20048	0	1.10693
escherichia_coli.k32.r_0.01.S_none.k_21.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	21	1	Neg	1.03	0.02	1.01	100%	40136	0	0	1.037411
escherichia_coli.k32.r_0.01.S_none.k_21.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	21	1	Pos	1.54	0.03	1.47	97%	40200	118928	0	1.550109
escherichia_coli.k32.r_0.01.S_none.k_21.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	21	2	0	3.52	0.02	3.50	99%	45392	29360	0	3.530908
escherichia_coli.k32.r_0.01.S_none.k_21.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	21	2	Neg	3.12	0.02	3.10	99%	45328	0	0	3.133544
escherichia_coli.k32.r_0.01.S_none.k_21.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	21	2	Pos	7.34	0.01	7.32	99%	45392	0	0	7.348012
escherichia_coli.k32.r_0.01.S_none.k_23.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	23	0	0	0.86	0.01	0.84	99%	53456	44384	0	0.865331
escherichia_coli.k32.r_0.01.S_none.k_23.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	23	0	Neg	0.67	0.01	0.66	100%	53456	0	0	0.683518
escherichia_coli.k32.r_0.01.S_none.k_23.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	23	0	Pos	1.58	0.04	1.51	98%	53456	61344	0	1.58499
escherichia_coli.k32.r_0.01.S_none.k_23.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	23	1	0	1.16	0.02	1.13	99%	42180	23632	0	1.169326
escherichia_coli.k32.r_0.01.S_none.k_23.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	23	1	Neg	1.07	0.02	1.04	99%	42180	0	0	1.076555
escherichia_coli.k32.r_0.01.S_none.k_23.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	23	1	Pos	1.68	0.02	1.62	97%	42180	126640	0	1.693438
escherichia_coli.k32.r_0.01.S_none.k_23.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	23	2	0	3.97	0.02	3.94	99%	48096	34576	0	3.977745
escherichia_coli.k32.r_0.01.S_none.k_23.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	23	2	Neg	3.27	0.01	3.24	99%	48096	0	0	3.274979
escherichia_coli.k32.r_0.01.S_none.k_23.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	23	2	Pos	8.59	0.02	8.56	99%	48096	0	0	8.600224
escherichia_coli.k32.r_0.01.S_none.k_31.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	31	0	0	1.37	0.05	1.31	99%	72908	79632	0	1.375888
escherichia_coli.k32.r_0.01.S_none.k_31.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	31	0	Neg	0.92	0.03	0.88	99%	72908	0	0	0.925065
escherichia_coli.k32.r_0.01.S_none.k_31.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	31	0	Pos	3.04	0.03	2.97	98%	72908	75696	0	3.046134
escherichia_coli.k32.r_0.01.S_none.k_31.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	31	1	0	1.73	0.04	1.68	99%	51872	41888	0	1.735658
escherichia_coli.k32.r_0.01.S_none.k_31.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	31	1	Neg	1.33	0.02	1.30	99%	51872	0	0	1.339769
escherichia_coli.k32.r_0.01.S_none.k_31.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	31	1	Pos	2.84	0.05	2.73	98%	51872	157992	0	2.853056
escherichia_coli.k32.r_0.01.S_none.k_31.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	31	2	0	5.75	0.03	5.71	99%	60888	57744	0	5.759894
escherichia_coli.k32.r_0.01.S_none.k_31.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	31	2	Neg	3.84	0.02	3.81	99%	60888	0	0	3.851394
escherichia_coli.k32.r_0.01.S_none.k_31.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	31	2	Pos	14.53	0.03	14.49	99%	60888	0	0	14.535412
escherichia_coli.k32.r_0.1.S_none.k_15.d_0.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	15	0	0	1.07	0.03	1.01	98%	71128	74488	0	1.074396
escherichia_coli.k32.r_0.1.S_none.k_15.d_0.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	15	0	Neg	0.82	0.02	0.79	99%	71128	0	0	0.827646
escherichia_coli.k32.r_0.1.S_none.k_15.d_0.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	15	0	Pos	1.17	0.02	1.15	99%	71128	0	0	1.181862
escherichia_coli.k32.r_0.1.S_none.k_15.d_1.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	15	1	0	1.47	0.02	1.44	99%	53456	43816	0	1.477462
escherichia_coli.k32.r_0.1.S_none.k_15.d_1.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	15	1	Neg	1.22	0.01	1.21	99%	53456	0	0	1.232123
escherichia_coli.k32.r_0.1.S_none.k_15.d_1.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	15	1	Pos	1.65	0.04	1.57	97%	53456	93904	0	1.661447
escherichia_coli.k32.r_0.1.S_none.k_15.d_2.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	15	2	0	5.28	0.04	5.23	99%	69600	74280	0	5.292063
escherichia_coli.k32.r_0.1.S_none.k_15.d_2.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	15	2	Neg	4.45	0.02	4.42	99%	69600	0	0	4.454814
escherichia_coli.k32.r_0.1.S_none.k_15.d_2.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	15	2	Pos	6.09	0.01	6.06	99%	69600	0	0	6.093969
escherichia_coli.k32.r_0.1.S_none.k_17.d_0.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	17	0	0	1.40	0.06	1.31	97%	107988	147752	0	1.413345
escherichia_coli.k32.r_0.1.S_none.k_17.d_0.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	17	0	Neg	1.07	0.04	1.02	99%	107988	0	0	1.076079
escherichia_coli.k32.r_0.1.S_none.k_17.d_0.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	17	0	Pos	1.60	0.03	1.56	99%	107988	0	0	1.611259
escherichia_coli.k32.r_0.1.S_none.k_17.d_1.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	17	1	0	2.15	0.04	2.09	99%	73172	82208	0	2.162052
escherichia_coli.k32.r_0.1.S_none.k_17.d_1.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	17	1	Neg	1.69	0.02	1.67	99%	73172	0	0	1.702561
escherichia_coli.k32.r_0.1.S_none.k_17.d_1.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	17	1	Pos	2.51	0.03	2.43	98%	73172	103008	0	2.520858
escherichia_coli.k32.r_0.1.S_none.k_17.d_2.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	17	2	0	6.70	0.04	6.64	99%	100032	130784	0	6.710598
escherichia_coli.k32.r_0.1.S_none.k_17.d_2.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	17	2	Neg	5.28	0.03	5.25	99%	100032	0	0	5.293614
escherichia_coli.k32.r_0.1.S_none.k_17.d_2.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	17	2	Pos	8.23	0.03	8.19	99%	100032	0	0	8.235294
escherichia_coli.k32.r_0.1.S_none.k_19.d_0.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	19	0	0	1.66	0.09	1.53	98%	142276	207200	0	1.666459
escherichia_coli.k32.r_0.1.S_none.k_19.d_0.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	19	0	Neg	1.20	0.05	1.14	99%	142276	0	0	1.207089
escherichia_coli.k32.r_0.1.S_none.k_19.d_0.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	19	0	Pos	2.01	0.04	1.96	99%	142512	0	0	2.021905
escherichia_coli.k32.r_0.1.S_none.k_19.d_1.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	19	1	0	2.56	0.05	2.49	99%	91360	113304	0	2.569675
escherichia_coli.k32.r_0.1.S_none.k_19.d_1.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	19	1	Neg	1.97	0.04	1.92	99%	91108	0	0	1.976761
escherichia_coli.k32.r_0.1.S_none.k_19.d_1.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	19	1	Pos	3.08	0.05	2.98	98%	91360	111104	0	3.09013
escherichia_coli.k32.r_0.1.S_none.k_19.d_2.t_0	escherichia_coli.k32	0.1	12_sbwt_query	none	19	2	0	7.79	0.06	7.68	99%	125076	170512	0	7.794558
escherichia_coli.k32.r_0.1.S_none.k_19.d_2.t_Neg	escherichia_coli.k32	0.1	12_sbwt_query	none	19	2	Neg	5.63	0.03	5.59	99%	125076	0	0	5.64146
escherichia_coli.k32.r_0.1.S_none.k_19.d_2.t_Pos	escherichia_coli.k32	0.1	12_sbwt_query	none	19	2	Pos	10.27	0.04	10.22	99%	125076	0	0	10.280885
