pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_0	escherichia_coli.k32	0.01	27_sshash_query	prophasm	15	na	0	32.58	0.03	32.53	99%	10812	0	0	32.593716
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k32	0.01	27_sshash_query	prophasm	15	na	Neg	27.56	0.01	27.54	99%	10812	0	0	27.569064
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k32	0.01	27_sshash_query	prophasm	15	na	Pos	9.16	0.01	9.14	99%	10812	0	0	9.168381
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_0	escherichia_coli.k32	0.01	27_sshash_query	prophasm	17	na	0	15.59	0.00	15.57	99%	13648	0	0	15.596404
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_Neg	escherichia_coli.k32	0.01	27_sshash_query	prophasm	17	na	Neg	12.97	0.01	12.95	99%	13648	0	0	12.977389
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_Pos	escherichia_coli.k32	0.01	27_sshash_query	prophasm	17	na	Pos	4.68	0.01	4.66	99%	13648	0	0	4.689285
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_0	escherichia_coli.k32	0.01	27_sshash_query	prophasm	19	na	0	5.73	0.01	5.72	99%	15164	0	0	5.742141
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_Neg	escherichia_coli.k32	0.01	27_sshash_query	prophasm	19	na	Neg	5.06	0.02	5.03	99%	15164	0	0	5.066646
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_Pos	escherichia_coli.k32	0.01	27_sshash_query	prophasm	19	na	Pos	2.29	0.01	2.27	99%	15248	0	0	2.29416
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_0	escherichia_coli.k32	0.01	27_sshash_query	prophasm	21	na	0	2.63	0.00	2.62	99%	16484	0	0	2.638581
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_Neg	escherichia_coli.k32	0.01	27_sshash_query	prophasm	21	na	Neg	2.25	0.01	2.23	99%	16484	0	0	2.261279
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_Pos	escherichia_coli.k32	0.01	27_sshash_query	prophasm	21	na	Pos	1.81	0.01	1.80	99%	16484	0	0	1.821243
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_0	escherichia_coli.k32	0.01	27_sshash_query	prophasm	23	na	0	1.78	0.00	1.78	99%	17736	0	0	1.792818
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k32	0.01	27_sshash_query	prophasm	23	na	Neg	1.96	0.01	1.94	99%	17736	0	0	1.971034
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k32	0.01	27_sshash_query	prophasm	23	na	Pos	1.54	0.00	1.53	99%	17736	0	0	1.546402
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_0	escherichia_coli.k32	0.01	27_sshash_query	prophasm	31	na	0	1.77	0.02	1.75	99%	23340	0	0	1.781536
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k32	0.01	27_sshash_query	prophasm	31	na	Neg	1.68	0.01	1.66	99%	23340	0	0	1.690062
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k32	0.01	27_sshash_query	prophasm	31	na	Pos	1.20	0.01	1.19	99%	23340	0	0	1.213193
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_0	escherichia_coli.k32	0.1	27_sshash_query	prophasm	15	na	0	359.41	0.06	359.15	99%	70256	0	0	359.415352
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k32	0.1	27_sshash_query	prophasm	15	na	Neg	307.49	0.05	307.29	99%	70256	0	0	307.499704
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k32	0.1	27_sshash_query	prophasm	15	na	Pos	107.34	0.05	107.23	99%	70256	0	0	107.345098
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_0	escherichia_coli.k32	0.1	27_sshash_query	prophasm	17	na	0	202.25	0.17	201.96	99%	98744	0	0	202.254755
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_Neg	escherichia_coli.k32	0.1	27_sshash_query	prophasm	17	na	Neg	158.15	0.09	158.00	99%	98744	0	0	158.162416
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_Pos	escherichia_coli.k32	0.1	27_sshash_query	prophasm	17	na	Pos	58.91	0.09	58.79	99%	98744	0	0	58.918434
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_0	escherichia_coli.k32	0.1	27_sshash_query	prophasm	19	na	0	71.34	0.03	71.27	99%	111900	0	0	71.352977
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_Neg	escherichia_coli.k32	0.1	27_sshash_query	prophasm	19	na	Neg	55.96	0.09	55.85	99%	111660	0	0	55.973063
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_Pos	escherichia_coli.k32	0.1	27_sshash_query	prophasm	19	na	Pos	26.07	0.03	26.02	99%	111900	0	0	26.078311
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_0	escherichia_coli.k32	0.1	27_sshash_query	prophasm	21	na	0	30.83	0.22	30.58	99%	123592	0	0	30.83421
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_Neg	escherichia_coli.k32	0.1	27_sshash_query	prophasm	21	na	Neg	24.34	0.07	24.25	99%	123592	0	0	24.351601
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_Pos	escherichia_coli.k32	0.1	27_sshash_query	prophasm	21	na	Pos	9.95	0.06	9.88	99%	123592	0	0	9.957401
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_0	escherichia_coli.k32	0.1	27_sshash_query	prophasm	23	na	0	14.95	0.15	14.79	99%	137588	0	0	14.95604
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k32	0.1	27_sshash_query	prophasm	23	na	Neg	7.87	0.05	7.81	99%	137588	0	0	7.877061
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k32	0.1	27_sshash_query	prophasm	23	na	Pos	4.17	0.05	4.12	99%	137588	0	0	4.181147
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_0	escherichia_coli.k32	0.1	27_sshash_query	prophasm	31	na	0	4.66	0.17	4.48	99%	188316	0	0	4.670326
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k32	0.1	27_sshash_query	prophasm	31	na	Neg	2.95	0.10	2.84	99%	188380	0	0	2.958616
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k32	0.1	27_sshash_query	prophasm	31	na	Pos	2.60	0.07	2.52	99%	188316	0	0	2.608341
escherichia_coli.k32.r_1.0.S_prophasm.k_15.d_na.t_0	escherichia_coli.k32	1.0	27_sshash_query	prophasm	15	na	0	179.99	0.18	179.73	99%	229604	0	0	179.997935
escherichia_coli.k32.r_1.0.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k32	1.0	27_sshash_query	prophasm	15	na	Neg	447.46	0.15	447.13	99%	229604	0	0	447.465407
escherichia_coli.k32.r_1.0.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k32	1.0	27_sshash_query	prophasm	15	na	Pos	179.33	0.15	179.11	99%	229604	0	0	179.339827
escherichia_coli.k32.r_1.0.S_prophasm.k_17.d_na.t_0	escherichia_coli.k32	1.0	27_sshash_query	prophasm	17	na	0	163.01	0.25	162.68	99%	154596	0	0	163.022945
escherichia_coli.k32.r_1.0.S_prophasm.k_17.d_na.t_Neg	escherichia_coli.k32	1.0	27_sshash_query	prophasm	17	na	Neg	262.30	0.08	262.12	99%	154596	0	0	262.308909
escherichia_coli.k32.r_1.0.S_prophasm.k_17.d_na.t_Pos	escherichia_coli.k32	1.0	27_sshash_query	prophasm	17	na	Pos	152.11	0.09	151.96	99%	154596	0	0	152.113731
escherichia_coli.k32.r_1.0.S_prophasm.k_19.d_na.t_0	escherichia_coli.k32	1.0	27_sshash_query	prophasm	19	na	0	56.62	0.24	56.34	99%	140852	0	0	56.625257
escherichia_coli.k32.r_1.0.S_prophasm.k_19.d_na.t_Neg	escherichia_coli.k32	1.0	27_sshash_query	prophasm	19	na	Neg	83.94	0.23	83.68	99%	140852	0	0	83.952312
escherichia_coli.k32.r_1.0.S_prophasm.k_19.d_na.t_Pos	escherichia_coli.k32	1.0	27_sshash_query	prophasm	19	na	Pos	51.16	0.08	51.05	99%	140852	0	0	51.167104
escherichia_coli.k32.r_1.0.S_prophasm.k_21.d_na.t_0	escherichia_coli.k32	1.0	27_sshash_query	prophasm	21	na	0	16.95	0.21	16.72	99%	137792	0	0	16.95578
escherichia_coli.k32.r_1.0.S_prophasm.k_21.d_na.t_Neg	escherichia_coli.k32	1.0	27_sshash_query	prophasm	21	na	Neg	24.07	0.06	24.00	99%	137792	0	0	24.08027
escherichia_coli.k32.r_1.0.S_prophasm.k_21.d_na.t_Pos	escherichia_coli.k32	1.0	27_sshash_query	prophasm	21	na	Pos	16.42	0.07	16.34	99%	137792	0	0	16.428746
escherichia_coli.k32.r_1.0.S_prophasm.k_23.d_na.t_0	escherichia_coli.k32	1.0	27_sshash_query	prophasm	23	na	0	6.83	0.09	6.73	99%	140200	0	0	6.834548
escherichia_coli.k32.r_1.0.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k32	1.0	27_sshash_query	prophasm	23	na	Neg	8.57	0.09	8.47	99%	140200	0	0	8.581843
escherichia_coli.k32.r_1.0.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k32	1.0	27_sshash_query	prophasm	23	na	Pos	6.36	0.09	6.26	99%	140200	0	0	6.367711
escherichia_coli.k32.r_1.0.S_prophasm.k_31.d_na.t_0	escherichia_coli.k32	1.0	27_sshash_query	prophasm	31	na	0	2.38	0.06	2.32	99%	143500	0	0	2.390955
escherichia_coli.k32.r_1.0.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k32	1.0	27_sshash_query	prophasm	31	na	Neg	2.26	0.05	2.20	99%	143500	0	0	2.266178
escherichia_coli.k32.r_1.0.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k32	1.0	27_sshash_query	prophasm	31	na	Pos	2.34	0.06	2.28	99%	143500	0	0	2.351961
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	15	na	0	2.94	0.00	2.94	99%	4224	0	0	2.946061
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	15	na	Neg	2.20	0.01	2.19	99%	4224	0	0	2.212041
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	15	na	Pos	1.32	0.00	1.32	99%	4224	0	0	1.334124
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	17	na	0	2.01	0.01	2.00	99%	4124	0	0	2.019096
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	17	na	Neg	1.55	0.01	1.54	99%	4124	0	0	1.561564
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	17	na	Pos	1.09	0.00	1.09	99%	4124	0	0	1.103869
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	19	na	0	1.70	0.00	1.69	99%	4140	0	0	1.703717
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	19	na	Neg	1.34	0.00	1.33	99%	4140	0	0	1.348119
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	19	na	Pos	1.04	0.00	1.04	99%	4140	0	0	1.052983
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_0	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	21	na	0	1.67	0.00	1.67	99%	4280	0	0	1.682558
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	21	na	Neg	1.32	0.00	1.31	99%	4280	0	0	1.324082
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	21	na	Pos	1.04	0.00	1.03	99%	4280	0	0	1.043855
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_0	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	23	na	0	1.80	0.00	1.80	99%	4280	0	0	1.808711
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	23	na	Neg	1.33	0.00	1.33	99%	4280	0	0	1.341429
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	23	na	Pos	1.09	0.01	1.08	99%	4280	0	0	1.098406
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_0	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	31	na	0	2.45	0.00	2.45	99%	4808	0	0	2.461527
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	31	na	Neg	1.46	0.00	1.45	99%	4808	0	0	1.464487
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	27_sshash_query	prophasm	31	na	Pos	1.35	0.00	1.34	99%	4808	0	0	1.355779
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	0	20.12	0.01	20.10	99%	6656	0	0	20.12492
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	Neg	14.05	0.01	14.03	99%	6656	0	0	14.059346
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	Pos	6.93	0.01	6.91	99%	6656	0	0	6.934554
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	17	na	0	10.68	0.00	10.66	99%	7712	0	0	10.683973
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	17	na	Neg	6.22	0.01	6.20	99%	7712	0	0	6.22823
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	17	na	Pos	3.97	0.01	3.95	99%	7712	0	0	3.978238
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	19	na	0	6.75	0.02	6.73	99%	8700	0	0	6.761518
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	19	na	Neg	2.90	0.00	2.90	99%	8700	0	0	2.910704
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	19	na	Pos	2.79	0.01	2.77	99%	8700	0	0	2.797615
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_0	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	21	na	0	5.85	0.00	5.85	99%	9560	0	0	5.861869
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	21	na	Neg	1.86	0.01	1.85	99%	9560	0	0	1.874021
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	21	na	Pos	2.97	0.01	2.95	99%	9560	0	0	2.977552
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_0	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	0	6.64	0.01	6.62	99%	10916	0	0	6.645797
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	Neg	1.60	0.00	1.60	99%	10548	0	0	1.613896
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	Pos	2.75	0.01	2.74	99%	10548	0	0	2.76212
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_0	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	0	11.65	0.02	11.62	99%	15692	0	0	11.658709
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	Neg	1.56	0.01	1.55	99%	15692	0	0	1.573977
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	Pos	4.32	0.01	4.30	99%	15692	0	0	4.326096
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.2	27_sshash_query	prophasm	15	na	0	33.84	0.01	33.81	99%	9596	0	0	33.848839
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	27_sshash_query	prophasm	15	na	Neg	25.44	0.00	25.42	99%	9596	0	0	25.445282
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	27_sshash_query	prophasm	15	na	Pos	13.20	0.00	13.18	99%	9596	0	0	13.205742
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.2	27_sshash_query	prophasm	17	na	0	18.08	0.01	18.06	99%	11116	0	0	18.091737
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	27_sshash_query	prophasm	17	na	Neg	10.78	0.01	10.76	99%	11116	0	0	10.785922
